clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,32,1,2019
263,Botafogo,32,17,2019
264,Corinthians,32,8,2019
265,Bahia,32,9,2019
266,Fluminense,32,16,2019
267,Vasco,32,11,2019
275,Palmeiras,32,2,2019
276,São Paulo,32,5,2019
277,Santos,32,3,2019
282,Atlético-MG,32,12,2019
283,Cruzeiro,32,15,2019
284,Grêmio,32,4,2019
285,Internacional,32,7,2019
290,Goiás,32,10,2019
293,Athlético-PR,32,6,2019
314,Avaí,32,20,2019
315,Chapecoense,32,19,2019
341,CSA,32,18,2019
354,Ceará,32,14,2019
356,Fortaleza,32,13,2019
