rodada_id,clube_casa_id,clube_visitante_id,placar_oficial_mandante,placar_oficial_visitante,clube_casa,clube_visitante,ano,partidas.partida_data,partidas.local
29,285,293,1,1,Internacional,Athlético-PR,2019,2019-10-31 21:30:00,Beira-Rio
29,282,315,0,2,Atlético-MG,Chapecoense,2019,2019-10-30 19:30:00,Independência
29,354,266,2,0,Ceará,Fluminense,2019,2019-10-30 21:30:00,Castelão (CE)
29,275,276,3,0,Palmeiras,São Paulo,2019,2019-10-30 19:30:00,Arena Palmeiras
29,277,265,1,0,Santos,Bahia,2019,2019-10-31 19:15:00,Vila Belmiro
29,267,284,1,3,Vasco,Grêmio,2019,2019-10-30 21:30:00,São Januário
29,263,283,0,2,Botafogo,Cruzeiro,2019,2019-10-31 21:30:00,Engenhão
29,314,356,1,3,Avaí,Fortaleza,2019,2019-10-30 19:30:00,Ressacada
29,290,262,2,2,Goiás,Flamengo,2019,2019-10-31 20:00:00,Serra Dourada
29,341,264,2,1,CSA,Corinthians,2019,2019-10-30 21:30:00,Rei Pelé
