clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,GS,PE,SG,A,FC,FS,RB,FD,FF,FT,G,PP,I,CA,CV,GC,ano
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,12,0,3.75,9,10.75,0,10.75,12,1,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Nenê,38913,12,0,2.83,3,6.07,0,6.07,NA,NA,NA,5,NA,1,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Ricardo Oliveira,38910,12,0,2.6,9,13.22,0,13.22,NA,NA,NA,8,NA,1,8,8,2,5,6,1,1,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,12,0,-0.16,5,4.96,0,4.96,NA,NA,NA,12,NA,NA,1,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,12,3.5,4.21,11,14.05,-0.32,14.370000000000001,NA,NA,NA,10,NA,3,8,13,9,7,8,NA,1,NA,1,2,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Mano Menezes,37281,12,0.53,3.29,12,9.24,-1.02,10.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,12,0,3.56,7,6.23,0,6.23,NA,NA,NA,6,NA,NA,7,2,11,4,3,NA,1,NA,1,1,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Rafael Moura,37655,12,0,0,1,3.8,-1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,12,4.5,4.7,4,6.97,0.56,6.41,NA,NA,NA,1,2,NA,3,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,4,mei,Diego,38909,12,0,1.53,9,5.52,0,5.52,NA,NA,NA,25,NA,NA,10,16,9,6,7,2,NA,1,NA,5,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,12,2.4,2.06,11,3.79,-0.14,3.93,NA,NA,NA,23,3,NA,8,11,14,NA,NA,NA,NA,NA,NA,4,NA,NA,2019
277,Santos,6,Nulo,4,mei,Evandro,37614,12,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Carlos Augusto,101803,12,0,4.23,3,5.59,0,5.59,NA,NA,NA,7,1,NA,3,NA,3,NA,1,NA,1,NA,NA,1,NA,NA,2019
276,São Paulo,3,Suspenso,5,ata,Gonzalo Carneiro,101796,12,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Gabriel Calabres,101911,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Toró,101885,12,-0.3,1.88,11,4.68,-1.46,6.14,NA,NA,NA,20,NA,NA,16,15,6,3,7,NA,2,NA,NA,1,1,NA,2019
314,Avaí,6,Nulo,2,lat,Iury,101846,12,0,2.93,3,6.76,0,6.76,NA,NA,NA,14,1,1,4,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Braian Romero,101997,12,0,4.8,5,5.73,0,5.73,NA,NA,NA,9,NA,1,13,9,8,NA,4,1,1,NA,1,1,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Vitinho,101960,12,0,3.98,5,3.62,0,3.62,NA,NA,NA,3,NA,2,6,2,NA,2,3,NA,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vitor Eudes,102137,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
