clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,FS,GS,PE,RB,SG,A,CA,FC,FD,FF,FT,G,I,CV,PP,GC,ano
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,16,7.9,4.57,12,7.62,-1.24,8.86,18,2,1,14,7,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,16,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,5,ata,Fred,38162,16,9.1,1.69,12,6.79,0.08,6.71,NA,NA,15,NA,26,2,NA,2,4,14,3,5,1,2,8,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,16,0,4.32,5,7.3,0,7.3,NA,NA,3,NA,7,6,2,NA,2,4,1,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,2,lat,Léo Moura,37701,16,0,3,7,5.69,0,5.69,NA,NA,7,NA,21,6,2,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,16,0.6,0.55,4,4.48,-0.03,4.510000000000001,NA,NA,1,NA,7,3,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,16,10.9,4.36,5,10.14,2.45,7.69,NA,NA,4,NA,9,8,1,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,16,3.73,3.25,14,8.86,0.11,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,16,0,4.56,14,12.18,0,12.18,NA,NA,36,NA,27,18,NA,1,3,7,2,7,NA,3,1,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,4,mei,Henrique,37694,16,3.9,4.07,12,8.26,0.24,8.02,NA,NA,15,NA,16,30,NA,NA,NA,16,2,9,NA,NA,1,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alecsandro,37673,16,0.7,0.83,6,4.25,-0.11,4.36,NA,NA,3,NA,6,1,NA,NA,NA,8,4,5,NA,NA,2,NA,NA,NA,2019
266,Fluminense,7,Provável,6,tec,Oswaldo de Oliveira,36940,16,0,0,0,6.9,0,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,3,Suspenso,3,zag,Betão,37646,16,-4.2,1.96,15,3.04,-1.65,4.6899999999999995,NA,NA,15,NA,30,23,3,NA,4,13,NA,1,NA,NA,NA,1,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,16,0,-1,1,2.08,0,2.08,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Thiago Neves,38277,16,1.4,4.48,12,7.92,-2.24,10.16,NA,NA,10,NA,23,2,NA,2,4,13,10,14,1,4,2,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,16,-4,1.65,11,7.26,-0.85,8.11,NA,NA,11,NA,26,6,NA,NA,NA,6,8,3,NA,1,3,NA,1,NA,2019
284,Grêmio,6,Nulo,4,mei,Maicon,38196,16,0,1.98,5,7.81,0,7.81,NA,NA,2,NA,18,7,NA,2,3,6,1,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,16,0,3,12,9.91,0,9.91,NA,NA,12,NA,21,8,3,NA,1,11,NA,1,NA,2,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Rafael Moura,37655,16,-0.3,0.35,4,3.39,-0.21,3.6,NA,NA,2,NA,3,1,NA,NA,NA,5,1,2,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,16,0,4.7,4,6.97,0,6.97,NA,NA,2,NA,1,4,2,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,16,-0.6,3.64,16,9.02,-0.77,9.79,NA,NA,18,NA,21,40,NA,NA,2,18,3,6,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,16,-1.6,2.95,13,9.27,-1.68,10.95,16,1,1,17,4,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,16,14.6,4.9,12,12.72,2.3,10.420000000000002,NA,NA,19,NA,14,6,NA,1,2,28,8,10,1,5,6,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Adriano,38336,16,0,5.7,1,11.69,0,11.69,NA,NA,NA,NA,2,2,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,3,zag,Thiago Heleno,38394,16,0,-2.1,2,1.27,0,1.27,NA,NA,1,NA,3,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,16,0,5.5,2,5.46,0,5.46,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,16,0,-0.2,6,3.27,0,3.27,NA,NA,1,NA,12,NA,NA,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,16,0,3.48,10,7.54,0,7.54,NA,NA,7,NA,9,7,NA,1,3,7,10,10,NA,1,NA,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,16,6.2,5.56,12,7.99,-0.36,8.35,NA,NA,12,NA,37,20,5,NA,NA,4,5,6,NA,1,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,16,0,-2.3,1,3.31,0,3.31,2,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,2,lat,Edílson,38523,16,0,0.84,5,4.84,0.48,4.359999999999999,NA,NA,4,NA,8,7,1,NA,1,7,NA,2,1,NA,NA,2,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,16,0,3.56,7,6.23,0,6.23,NA,NA,2,NA,6,11,NA,NA,1,7,4,3,NA,1,1,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,16,0,-0.45,7,4.65,0,4.65,NA,NA,3,NA,14,1,NA,NA,1,1,NA,2,NA,NA,2,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Nilton,38573,16,0,0.16,8,2.88,0,2.88,NA,NA,6,NA,11,7,NA,NA,3,9,NA,2,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Felipe Melo,38545,16,0,0.6,6,5.31,0,5.31,NA,NA,10,NA,11,4,NA,NA,4,11,2,5,NA,1,NA,1,NA,NA,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,16,0.7,1.78,9,5.89,-0.32,6.21,NA,NA,6,NA,21,15,NA,NA,2,10,NA,8,NA,NA,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,16,0,4.31,12,14.45,0,14.45,NA,NA,13,NA,11,9,NA,4,2,9,8,8,NA,1,1,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Nenê,38913,16,0,2.06,5,5.81,0,5.81,NA,NA,6,NA,9,2,NA,1,NA,6,1,1,NA,1,NA,1,NA,NA,2019
262,Flamengo,5,Contundido,4,mei,Diego,38909,16,0,1.53,9,5.52,0,5.52,NA,NA,16,NA,25,9,NA,NA,5,10,6,7,2,NA,NA,NA,1,NA,2019
282,Atlético-MG,7,Provável,5,ata,Ricardo Oliveira,38910,16,0,3.77,11,15.85,0,15.85,NA,NA,11,NA,10,4,NA,2,NA,11,7,7,1,2,1,NA,1,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,16,1.2,7.75,2,15.36,-2.29,17.65,NA,NA,5,NA,5,1,1,NA,NA,4,1,1,NA,1,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,5,ata,Vagner Love,38959,16,7.6,2.82,12,6.12,0.91,5.21,NA,NA,23,NA,18,7,NA,NA,2,13,2,5,NA,3,5,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Renato,39572,16,0,2.55,4,5.74,0,5.74,NA,NA,9,NA,2,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Júlio César,49673,16,6.7,3.12,6,6.3,1.05,5.25,12,NA,NA,11,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,16,3.8,1.99,12,5.44,0.73,4.710000000000001,NA,NA,11,NA,28,11,5,NA,2,13,NA,1,NA,NA,NA,1,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,16,3.94,3.72,16,11.62,0.29,11.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Egídio,42145,16,0,4.47,8,9.33,0,9.33,NA,NA,8,NA,32,17,2,1,NA,6,3,1,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Willian,42116,16,0,1.3,3,7.58,0,7.58,NA,NA,2,NA,1,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,16,6.68,3.47,12,8.81,0.85,7.960000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,16,0,1.99,13,8.74,0,8.74,NA,NA,11,NA,41,18,NA,1,1,15,2,2,1,1,NA,1,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,16,0,3.32,9,6.56,0,6.56,17,NA,NA,11,7,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,4,mei,Ramires,50293,16,0,1,2,7.08,0,7.08,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,16,0,1.6,3,11.37,0,11.37,NA,NA,NA,NA,9,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Osvaldo,42222,16,-1.5,1.19,13,4.3,-0.38,4.68,NA,NA,4,NA,16,5,NA,2,1,11,3,2,NA,1,NA,1,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,16,1.5,1.74,5,3.27,0.23,3.04,NA,NA,2,NA,1,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,6,tec,Cuca,42411,16,0.4,3.87,15,9.82,-1.23,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,16,-2.3,4.37,12,7.6,-1.49,9.09,15,NA,2,8,5,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Madson,42467,16,0,1.8,6,6.21,0,6.21,NA,NA,11,NA,14,3,NA,NA,NA,2,1,6,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,16,0,3.65,4,5.38,0,5.38,NA,NA,4,NA,9,3,3,NA,1,6,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Márcio Azevedo,42491,16,1.7,2.91,11,5.4,-0.51,5.91,NA,NA,13,NA,26,6,5,2,3,15,1,2,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Fagner,42500,16,0.6,5.71,11,12.37,-1.1,13.469999999999999,NA,NA,18,NA,37,20,6,2,2,10,2,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
