clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,RB,FD,PE,I,DD,GS,GC,FT,G,CV,SG,DP,PP,ano
290,Goiás,6,Nulo,3,zag,Alan,105395,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,2,1.53,3.03,2,10.27,-1.2,11.469999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Figueira,102565,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Iago Mendonça,105278,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,2,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,2,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Vinícius,104660,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Júlio César,49673,2,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,4,mei,Maicon,38196,2,0,6.8,1,11.66,0,11.66,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Rafael Barbosa,105396,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,Diego Tardelli,38231,2,-1.2,1.9,2,9.96,-2.53,12.49,NA,NA,NA,NA,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Felipe Mosquete,105397,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Marinho,68952,2,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,2,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,Luan,86759,2,-2.3,0.3,2,8.83,-3.59,12.42,NA,NA,1,NA,2,NA,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,Pepê,91201,2,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Paulo Victor,68873,2,-2.6,-1.95,2,1.86,-2.79,4.65,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Michel,71920,2,-1.5,-1.5,1,3.69,-2.31,6,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,4,mei,Alisson,81845,2,0,2.2,1,5.69,0,5.69,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,André,68690,2,1,4.05,2,8.56,0.17,8.39,NA,NA,2,1,4,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,4,mei,Thaciano,87470,2,0.6,0.6,1,3.88,-1.12,5,NA,NA,NA,NA,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Rodrigues,91251,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,Felipe Vizeu,94138,2,0,-0.15,2,2.77,-1.18,3.95,NA,NA,2,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Leonardo,86973,2,-0.6,0.45,2,4.44,-1.46,5.9,NA,1,3,1,NA,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,2,lat,Juninho Capixaba,94968,2,6.9,6.9,1,6.61,1.61,5,NA,NA,3,NA,6,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,4,mei,Jean Pyerre,98832,2,0,4.7,1,7.42,0,7.42,NA,NA,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Vico,95622,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Guilherme Guedes,100741,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Matheus Henrique,100742,2,2.1,2.1,2,5.09,0.16,4.93,NA,1,2,1,5,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Thonny Anderson,101484,2,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,2,0,2.4,1,5.13,0,5.13,NA,NA,2,1,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,2,0,2.6,1,8.05,0,8.05,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Emanuel,100840,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Uendel,60852,2,0,-1.4,1,1.8,0,1.8,NA,NA,3,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,4,mei,D'Alessandro,62023,2,7.3,7.3,1,10.4,0.4,10,1,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,2,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Camilo,62009,2,0,3.7,1,6.73,0,6.73,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Antonini,103069,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,2,3.6,3.6,1,9.52,-1.48,11,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,2,1,1.5,2,7.54,-1.48,9.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,2,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Rodrigo Lindoso,72362,2,0,2.9,1,6.87,0,6.87,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,1,gol,Danilo Fernandes,69051,2,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Paolo Guerrero,75295,2,12,12,1,14.61,1.61,13,NA,NA,1,2,2,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,William Pottker,77809,2,0,2.3,1,8.53,0,8.53,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,4,mei,Matheus Galdezani,82634,2,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rodrigo Dourado,78865,2,1.4,1.4,1,7.12,-1.88,9,NA,1,2,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,3,zag,Emerson Santos,86972,2,0,-1,1,2.78,0,2.78,NA,1,2,NA,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Guilherme Parede,83438,2,4,4,1,4.63,0.63,4,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Tréllez,87679,2,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Zeca,87192,2,2.7,2.7,1,5.51,-0.49,6,NA,1,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Klaus,90846,2,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Neilton,83772,2,0,5.3,1,7.84,0,7.84,NA,NA,1,1,4,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,6,tec,Odair Hellmann,92273,2,5.16,3.91,2,8.35,0.96,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Dudu,97133,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Keiller,93834,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Daniel,96468,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Jonatan Álvez,92377,2,0,3.9,1,6.17,0,6.17,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,1,gol,Diego Alves,38509,2,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Carlos Miguel,104084,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Bruno Fuchs,104085,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Roberto,104086,2,0,3.3,1,2.98,0,2.98,NA,NA,NA,NA,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Pedro Lucas,104087,2,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Bryan Ruíz,71019,2,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Victor Ferraz,70046,2,2.1,1.8,2,6.61,-0.67,7.28,NA,NA,1,NA,1,4,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,6,tec,Jorge Sampaoli,70800,2,4.61,4.49,2,9.98,0.7,9.280000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Éverson,72294,2,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,4,mei,Sarrafiore,101315,2,7.2,3.25,2,5.08,2.1,2.98,NA,NA,1,NA,1,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Alison,73974,2,0,3,1,5.55,0,5.55,NA,1,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,5,ata,Eduardo Sasha,70360,2,13.1,13.25,2,18.8,6.03,12.77,NA,NA,5,3,2,7,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,5,ata,Derlis González,75372,2,0,-9,1,0.69,0,0.69,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Cueva,82411,2,1,1,1,8.39,-2.61,11,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Carlos Sánchez,81677,2,9.5,4.6,2,12.42,0.83,11.59,NA,NA,2,1,1,2,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
277,Santos,7,Provável,3,zag,Gustavo Henrique,78248,2,2.4,0.55,2,4.03,-0.62,4.65,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Matheus Ribeiro,82943,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Copete,77959,2,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,João Paulo,85425,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Luiz Felipe,79035,2,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
