clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,FC,FD,FF,FS,PE,RB,SG,CA,G,I,DD,GS,FT,CV,DP,PP,GC,ano
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,22,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,22,4.5,1.68,6,5.24,0.2,5.04,1,7,1,1,3,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,22,5.15,3.52,20,9.52,0.08,9.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,22,0,4.7,4,6.97,0,6.97,NA,3,1,3,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,22,3.4,3.33,20,12.3,0.62,11.680000000000001,1,12,4,9,43,33,21,NA,5,3,3,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,1,gol,Marcelo Boeck,37788,22,11.5,2.73,4,5.13,1.57,3.5599999999999996,NA,NA,NA,NA,1,3,NA,1,1,NA,NA,8,7,NA,NA,NA,NA,NA,2019
283,Cruzeiro,3,Suspenso,4,mei,Henrique,37694,22,-1.3,3.11,18,7.29,-0.64,7.93,NA,24,3,9,28,25,38,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Léo Moura,37701,22,-0.4,2.19,9,5.09,0.06,5.03,1,2,NA,1,8,27,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,22,-1.1,-0.12,11,2.79,-0.4,3.19,1,6,1,5,3,18,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,22,5.7,4.5,11,10.25,0.47,9.78,4,17,2,NA,11,18,14,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,22,0,1.81,17,5.43,0,5.43,2,20,8,7,23,36,3,NA,6,3,9,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Maicon,38196,22,0,1.98,5,7.81,0,7.81,2,6,1,2,2,18,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,22,1.2,2.35,19,4.15,0.23,3.9200000000000004,NA,13,NA,2,19,37,26,5,4,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,22,3.1,3.69,18,9.81,-0.65,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,22,-2.3,0.04,8,2.71,-0.44,3.15,NA,17,1,2,7,5,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,22,0,4.32,5,7.3,0,7.3,NA,4,1,NA,3,7,6,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,22,-2,3.22,19,9.51,-2.77,12.28,NA,NA,NA,NA,3,8,NA,6,2,NA,NA,24,25,NA,NA,2,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,22,0.7,2.37,16,9.35,-0.57,9.92,NA,14,1,1,14,27,12,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,22,0.7,4.3,17,8.18,-1.14,9.32,2,16,12,20,19,32,6,NA,5,5,2,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,22,0,2.6,16,10.34,0,10.34,1,13,12,4,11,32,9,NA,1,3,4,NA,NA,NA,NA,NA,1,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,22,0,5,4,5.35,0,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,22,0,-2.1,2,1.27,0,1.27,NA,2,1,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,22,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,22,8,4.66,18,8.42,1.82,6.6,NA,NA,NA,NA,2,11,2,7,NA,NA,NA,22,16,NA,NA,2,NA,NA,2019
285,Internacional,5,Contundido,5,ata,Rafael Sobis,37798,22,1.4,4.45,14,7.76,-0.91,8.67,3,12,16,15,10,20,10,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,22,-0.5,3,20,8.56,-0.75,9.31,NA,22,3,6,25,24,44,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Felipe Melo,38545,22,4,2.36,11,6.88,-0.09,6.97,1,23,3,12,17,26,17,NA,5,1,NA,NA,NA,NA,1,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Adriano,38336,22,0,3.13,3,10.25,0,10.25,NA,3,NA,1,1,8,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,22,2.7,5.25,18,8.13,0.44,7.69,NA,10,6,8,14,47,28,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,22,2,1.07,7,5.01,0.04,4.97,NA,8,NA,3,4,13,10,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,22,-1.8,4.63,10,9.4,-0.75,10.15,1,9,2,2,9,17,15,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,22,0,2.08,11,6.34,0,6.34,NA,14,NA,8,6,23,16,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Victor Ferraz,70046,22,7.2,4.24,19,11.05,1.32,9.73,1,10,5,5,12,48,27,9,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Hernanes,38648,22,3.2,4.44,15,13.73,-0.65,14.38,4,18,10,12,19,18,15,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,22,5.6,5.97,7,16.17,0.37,15.800000000000002,NA,19,3,6,17,27,12,3,NA,1,3,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,22,2.2,-0.12,8,4.8,0.15,4.6499999999999995,NA,1,1,4,3,16,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,22,0,1.37,9,6.11,0,6.11,NA,5,NA,1,12,10,1,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,22,0,0.16,8,2.88,0,2.88,NA,9,NA,2,6,11,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,4,mei,Diego,38909,22,0,1.53,9,5.52,0,5.52,NA,10,6,7,16,25,9,NA,5,NA,NA,NA,NA,2,NA,NA,1,NA,2019
262,Flamengo,5,Contundido,2,lat,Filipe Luís,38750,22,6.7,6.19,9,14.02,0.16,13.86,NA,16,1,NA,4,25,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,22,0,3.29,14,13.34,0,13.34,2,14,9,9,14,11,5,NA,NA,2,2,NA,NA,1,NA,NA,1,NA,2019
283,Cruzeiro,7,Provável,6,tec,Abel Braga,40006,22,0.85,3.49,7,9.23,-1.64,10.870000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Nenê,38913,22,10.2,2.95,11,7.48,1.94,5.540000000000001,2,12,3,7,14,41,9,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,22,2.37,4.51,22,12.27,-0.69,12.959999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Vagner Love,38959,22,0,2.99,16,6.17,0,6.17,NA,20,3,5,26,22,9,NA,3,5,7,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Adilson Batista,41258,22,0,0,0,10.72,0,10.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato,39572,22,0,2.62,5,5.2,0,5.2,NA,NA,3,3,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,22,0,1.43,6,2.93,0,2.93,NA,4,NA,NA,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,22,0.83,2.93,17,7.8,-0.24,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,2,Dúvida,3,zag,Maurício Ramos,42477,22,0,2.14,9,4.42,0,4.42,NA,13,2,1,8,13,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Egídio,42145,22,3,4.02,13,9.11,-0.27,9.379999999999999,1,15,3,3,14,36,22,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
