clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FS,PE,RB,A,CA,FD,FF,FT,G,SG,CV,I,PP,DD,DP,GS,GC,ano
267,Vasco,6,Nulo,3,zag,Miranda,101720,23,0,0.7,1,2.57,0,2.57,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,23,6.35,3.65,21,9.81,0.29,9.520000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Diego,101728,23,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,João Pedro Borges,101721,23,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,3,Suspenso,5,ata,Gonzalo Carneiro,101796,23,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,23,8.6,6.26,18,14.37,-0.65,15.02,22,23,43,26,4,4,5,5,1,2,9,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Carlos Augusto,101803,23,0,2.84,8,5.25,0,5.25,6,6,13,6,NA,1,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Bruninho,101716,23,0,3.65,6,2.13,0,2.13,4,5,6,4,NA,NA,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,1,gol,Vagner,78151,23,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Fabinho,101729,23,0,-0.5,1,0.77,0,0.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,3,Suspenso,5,ata,Marrony,101717,23,1.8,2.6,20,11.2,0.02,11.18,31,32,29,26,1,3,8,15,NA,1,NA,1,5,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Rafael França,101719,23,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,23,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,23,0.4,2.25,17,9.22,-0.13,9.350000000000001,16,14,30,13,NA,2,1,2,NA,2,3,NA,2,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,23,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Iury,101846,23,0,2.8,9,5.91,0,5.91,12,10,28,10,1,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,23,-0.2,2.44,17,8.2,-2.14,10.34,14,11,32,9,1,1,12,5,NA,3,NA,NA,5,1,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,23,4.2,4.38,18,11.18,-0.05,11.23,37,24,26,7,1,4,14,13,2,7,NA,NA,7,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,23,3.45,3.68,19,9.88,0.07,9.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,3,Suspenso,4,mei,Evandro,37614,23,-2.8,1.04,7,3.95,-1.29,5.24,12,3,9,5,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,23,2.9,0.36,9,3.57,0.86,2.71,19,9,7,4,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,23,-1.6,2.15,20,3.64,-0.51,4.15,14,19,39,27,NA,5,NA,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,3,Suspenso,4,mei,Thiago Neves,38277,23,2.9,4.22,18,8.52,0.34,8.18,17,20,35,8,2,6,13,22,1,5,NA,NA,2,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,23,-2.3,2.94,20,9.29,-0.22,9.51,NA,3,9,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,24,2,26,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,23,2.5,2.98,21,9.01,0.45,8.56,22,30,29,45,NA,2,3,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
