clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,FT,CV,SG,DD,DP,GS,GC,ano
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,27,-0.6,2,20,7.86,0.13,7.73,1,1,16,12,5,15,3,5,40,1,9,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,27,14.7,4.94,21,13.18,3.24,9.94,2,6,41,15,14,29,10,10,35,NA,8,2,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,27,-0.4,2.23,24,4.03,-0.38,4.41,NA,5,15,1,3,23,NA,NA,47,NA,30,NA,1,6,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,27,-0.8,2.97,24,11.33,-0.38,11.71,1,7,21,7,9,49,3,4,35,NA,26,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,27,0,4.7,4,6.97,0,6.97,NA,NA,3,1,3,2,NA,NA,1,NA,4,NA,NA,2,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,27,1.5,3.23,24,10.12,-0.54,10.66,NA,2,NA,NA,NA,5,NA,NA,10,NA,NA,NA,NA,8,28,2,28,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,27,-1.3,2.75,24,8.29,-0.81,9.1,NA,3,26,3,6,34,NA,NA,31,NA,49,NA,1,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,27,2.82,3.64,25,9.44,0,9.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Ralf,52190,27,7.5,4.83,17,11.57,0.24,11.33,NA,1,17,2,1,27,1,NA,19,NA,47,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,27,0,-0.57,12,1.55,0,1.55,NA,1,26,2,4,13,NA,1,15,NA,4,NA,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alecsandro,37673,27,0.2,1.13,15,4.03,-1.24,5.2700000000000005,NA,1,19,6,9,8,2,6,16,1,4,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,27,0,4.32,5,7.3,0,7.3,NA,2,4,1,NA,3,1,NA,7,NA,6,NA,NA,2,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,27,-0.6,-0.63,6,0.86,-0.27,1.13,NA,4,9,3,NA,6,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,27,-0.6,-0.14,14,2.73,-0.11,2.84,1,3,6,1,5,3,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,27,-1.6,4.84,23,7.69,-1.06,8.75,NA,2,17,6,10,21,2,NA,55,NA,39,NA,NA,8,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,27,5.4,2.27,20,9.9,0.2,9.700000000000001,1,4,20,2,2,14,2,2,38,NA,14,1,NA,4,NA,NA,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,27,4.5,3.91,14,10.18,0.64,9.54,1,7,14,2,3,13,2,2,20,NA,17,NA,NA,5,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,27,0.5,0.82,10,4.26,0.31,3.9499999999999997,2,NA,15,1,1,9,NA,1,14,NA,6,NA,1,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,27,14,5.18,23,10.09,2.36,7.73,NA,NA,NA,NA,NA,3,NA,NA,12,NA,2,NA,NA,10,30,2,18,NA,2019
