clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,PE,RB,SG,A,CV,FS,I,CA,G,DD,GS,DP,FT,PP,GC,ano
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,30,6.2,4.08,26,10.65,-0.54,11.190000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,30,0,2.12,5,4.62,0,4.62,4,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,30,2.4,1.34,13,4.68,-0.28,4.96,21,2,2,20,12,NA,2,1,16,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Nilton,38573,30,0,0.28,9,2.71,0,2.71,10,NA,2,12,8,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,30,9.5,1.45,15,4.82,0.54,4.28,31,3,11,21,6,NA,NA,1,17,3,2,3,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,30,0,3.56,7,6.23,0,6.23,7,4,3,6,11,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Alexandre Pato,49675,30,0,4.1,19,8.83,0,8.83,19,13,20,36,14,NA,NA,NA,28,13,1,5,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,1,gol,Júlio César,49673,30,0,4.34,8,6.29,0,6.29,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,17,13,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,30,1,3.13,27,9.87,-1.21,11.079999999999998,NA,NA,NA,10,NA,9,NA,NA,5,NA,2,NA,30,30,2,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,30,5.95,3.74,28,9.93,0.21,9.719999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,2,lat,Fagner,42500,30,2.9,4.89,22,12.65,0.31,12.34,19,5,4,73,40,9,2,NA,33,NA,5,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,3,Suspenso,4,mei,Felipe Melo,38545,30,3.9,2.74,18,7.04,-0.79,7.83,32,4,14,41,26,NA,1,1,26,1,7,3,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Ramires,50293,30,0,1.17,3,6.79,0,6.79,2,NA,1,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Hernanes,38648,30,0,3.54,23,12.68,-0.13,12.81,23,12,14,25,24,NA,4,NA,23,1,4,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Wilson,50284,30,0,1.97,3,4.21,0,4.21,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,8,9,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,4,mei,Douglas,38738,30,0,0.27,12,5.08,0,5.08,3,1,6,34,2,NA,1,NA,8,2,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,30,0,5.89,12,13.05,0,13.05,21,1,NA,30,36,6,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,30,0,2.77,19,12.63,0,12.63,15,9,14,11,6,NA,2,NA,17,2,NA,2,NA,NA,NA,1,1,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,30,0,1.15,6,4.67,0,4.67,9,2,1,6,6,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Elicarlos,50313,30,3,0.82,17,4.58,0.42,4.16,23,3,9,25,15,NA,NA,NA,19,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,30,0,1.68,16,7.34,0,7.34,32,3,3,31,18,NA,2,NA,22,7,3,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,30,0,-0.28,6,2.87,0,2.87,4,NA,2,6,2,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,30,0,2.13,15,8.89,0,8.89,25,4,1,18,22,NA,1,NA,10,1,3,1,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Diego,38909,30,0.2,1.4,10,4.66,-0.86,5.5200000000000005,10,6,8,27,9,NA,NA,NA,16,NA,5,NA,NA,NA,NA,2,1,NA,2019
284,Grêmio,6,Nulo,3,zag,David Braz,50317,30,0,4.92,15,9.62,0,9.62,11,3,9,15,21,4,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,30,0,4.32,5,7.3,0,7.3,4,1,NA,7,6,2,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,30,1.8,4.25,11,6.31,-0.53,6.84,6,2,2,7,16,3,NA,NA,6,NA,1,1,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alecsandro,37673,30,0,1.07,18,3.91,-0.3,4.21,20,6,10,16,5,NA,NA,NA,9,6,1,2,NA,NA,NA,NA,1,NA,2019
