clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,I,PE,RB,SG,CV,FD,DD,GS,G,DP,PP,FT,GC,ano
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,31,3.5,2.37,16,5.78,-0.59,6.37,1,1,6,2,13,1,37,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,31,1,1.98,27,4.11,0.05,4.0600000000000005,NA,6,18,3,27,NA,47,31,6,1,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,31,0,4.41,7,4.9,0,4.9,NA,1,NA,NA,1,NA,3,NA,2,NA,NA,15,10,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,31,1.4,2.82,26,11.38,0.04,11.340000000000002,1,8,22,9,51,4,38,29,NA,NA,7,NA,NA,3,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Evandro,37614,31,0,1.34,13,4.68,0,4.68,2,NA,21,2,16,2,20,12,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,31,1.2,3.29,26,7.94,-0.24,8.18,NA,4,38,14,48,1,39,57,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,31,0,4.7,4,6.97,0,6.97,NA,NA,3,3,2,NA,1,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,31,0,4.15,15,7.14,-0.62,7.76,3,4,12,15,10,NA,20,10,NA,NA,16,NA,NA,2,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Rafael Moura,37655,31,-1.2,1.28,16,3.19,-1.63,4.82,NA,3,32,12,19,4,21,6,NA,1,3,NA,NA,3,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,31,19.7,3.72,28,13.26,3.39,9.87,NA,2,NA,NA,5,NA,11,NA,10,NA,NA,35,30,NA,2,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,31,1.72,3.99,27,10.07,-0.58,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,31,3.08,3.72,29,9.63,-0.3,9.930000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,31,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2019
262,Flamengo,3,Suspenso,2,lat,Rafinha,38144,31,4.4,4.3,17,10.17,1,9.17,4,6,25,1,15,1,30,20,9,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,3,Suspenso,4,mei,Maicon,38196,31,-0.5,2.99,12,7.29,0.22,7.07,2,6,14,3,9,NA,31,14,NA,NA,2,NA,NA,3,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,31,-0.4,2.68,28,8.39,-0.89,9.280000000000001,NA,4,31,6,40,NA,35,56,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,31,4,4.5,2,6.94,-0.13,7.07,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,31,10.6,2.35,24,9.73,1.48,8.25,1,1,20,7,20,5,52,14,NA,NA,14,NA,NA,4,NA,1,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,31,0,5.03,24,10.77,0,10.77,2,7,45,18,34,11,36,8,NA,NA,15,NA,NA,12,NA,NA,2,NA,2019
