clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FS,G,PE,RB,SG,A,FF,I,CV,PP,DD,GS,FT,DP,GC,ano
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,35,5,4.43,6,6.27,-1.03,7.3,2,5,1,4,1,7,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,5,ata,Rafael Sobis,37798,35,0,3.22,18,6.62,0,6.62,6,14,16,10,2,23,10,NA,3,17,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,35,0,4.3,17,10.17,0,10.17,6,25,3,15,NA,30,20,9,4,1,1,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,35,0,2.25,16,4.71,-2.53,7.24,1,30,4,25,NA,23,17,NA,4,4,2,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,35,-0.62,3.81,31,9.64,-0.63,10.270000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,35,0,2.22,18,5.34,0,5.34,1,7,NA,14,NA,40,13,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,35,1.6,2.77,30,11.27,0.07,11.2,8,25,9,57,3,46,34,NA,1,10,4,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,35,8.9,3.32,30,9.17,0.82,8.35,5,46,4,60,NA,48,67,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,5,ata,Alecsandro,37673,35,0,1.13,20,4.54,0,4.54,1,20,6,11,2,19,7,NA,NA,11,7,NA,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,35,0,4.41,7,4.9,0,4.9,1,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,15,10,NA,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,35,0,1.91,28,3.97,0,3.97,6,20,1,28,NA,50,32,6,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,35,4.01,3.67,33,9.77,-0.29,10.059999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,35,0.9,1.7,28,5.6,0.45,5.1499999999999995,10,45,14,38,5,54,5,NA,3,15,14,NA,NA,NA,NA,1,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,35,1,3.79,32,10.46,-0.39,10.850000000000001,2,NA,NA,5,NA,13,NA,12,NA,NA,NA,NA,NA,41,35,NA,2,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,35,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,4,mei,Bruno Leite,102301,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,35,7.4,1.81,19,4.74,0.48,4.26,4,47,3,24,5,24,8,NA,NA,16,5,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Papagaio,102302,35,0,0.16,9,1.21,0,1.21,1,7,1,6,NA,4,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Marcinho,102380,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,1,gol,Fernando Prass,38140,35,0,4.5,2,6.94,0,6.94,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Cacá,102340,35,2.3,2.95,17,3.1,0.58,2.52,4,14,1,11,1,7,14,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Gabriel,102290,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Matheus Teixeira,102907,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,2,Dúvida,5,ata,Caio Paulista,102318,35,7.2,2.84,24,5.06,0.83,4.2299999999999995,1,28,9,33,NA,44,34,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Miguel Figueira,102565,35,0,0.5,1,0.86,0,0.86,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,35,0,4.7,4,6.97,0,6.97,NA,3,1,2,NA,1,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Dudu,102581,35,0,-0.17,3,1.15,-0.18,1.3299999999999998,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Vital,102452,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,Yago Darub,102686,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Fernando Castro,102609,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Thiaguinho,102599,35,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Dudu,102852,35,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Terans,102878,35,0,0.23,3,3.51,0,3.51,NA,2,1,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Helinho,102598,35,0,-0.23,6,2.56,0,2.56,1,6,1,6,NA,8,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hulk,102700,35,0,2.5,1,2.75,0,2.75,NA,1,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Moresche,102719,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Rodrigo Fernandes,102771,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,2,Dúvida,4,mei,Luan,102909,35,-2,0.91,20,2.64,-0.84,3.48,4,29,2,7,NA,27,27,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Kaio,102563,35,1,0.68,12,1.25,0.1,1.15,NA,10,2,4,NA,8,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Zé Ricardo,102911,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,4,mei,Yann Rolim,102892,35,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Rhuan,102958,35,12.4,2.76,7,2.98,1.59,1.39,1,5,2,16,1,11,4,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Vini Locatelli,102998,35,0,2.07,9,1.55,0,1.55,NA,6,4,8,NA,7,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Romarinho Gouveia,102891,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,César,102912,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Anderson,102906,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Tharlis,102997,35,0,1.7,2,2.84,0,2.84,NA,2,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Régis,102999,35,0,1.3,13,3.34,0,3.34,1,12,4,5,NA,15,12,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Mateus Gonçalves,103076,35,-0.3,1.89,21,3.06,-0.9,3.96,1,12,2,9,3,23,9,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Antonini,103069,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Phelipe,103524,35,0,2,1,1.21,0,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Kaio Jorge,103445,35,0,0.25,2,0.78,0,0.78,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Antony,103455,35,12.1,4.72,26,13.28,2.05,11.23,3,25,22,69,3,88,29,NA,5,17,1,1,NA,NA,NA,2,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Ignácio,103523,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Yuri ,103446,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Michel,103579,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Éderson,103099,35,0.2,2.82,18,2.81,-0.36,3.17,3,30,5,27,2,34,24,NA,NA,10,1,NA,NA,NA,NA,1,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Walce,104074,35,0,3.57,3,3.67,0,3.67,NA,1,NA,NA,NA,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Neto,103706,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Kaique Rocha,103684,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Bruno Méndez,103700,35,0,0.88,6,4.1,0,4.1,3,5,NA,2,NA,14,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Jadsom Silva,103695,35,0,0,1,0.76,0,0.76,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,35,0,2.76,14,7.49,0,7.49,6,16,3,10,3,37,16,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Júnior,103662,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Andrew,103183,35,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Gabriel Veron,103764,35,2.3,2.3,1,1.19,0.19,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,5,ata,Marcos Paulo,103645,35,14.5,4.41,20,6.96,1.46,5.5,NA,11,6,18,3,32,23,NA,3,14,1,NA,NA,NA,NA,1,NA,NA,2019
277,Santos,6,Nulo,4,mei,Anderson Ceará,103724,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,35,3,2.6,28,9.61,0.04,9.57,5,29,4,21,3,46,20,6,1,3,2,NA,NA,NA,NA,2,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,João Pedro,104026,35,0,3.91,23,6.11,0,6.11,1,25,18,29,4,30,16,NA,1,22,9,NA,NA,NA,NA,1,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,André,104080,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Alessandro,104081,35,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,4,mei,Rodrigo Dourado,78865,35,0,1.4,1,7.12,0,7.12,1,2,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Bruno Fuchs,104085,35,0,2.36,9,2.2,0,2.2,3,6,1,8,NA,27,11,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
