clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FF,FS,I,PE,RB,CA,FD,G,GC,A,SG,FT,DD,GS,PP,CV,DP,ano
284,Grêmio,7,Provável,4,mei,Thaciano,87470,6,-0.3,0.95,4,3.38,-0.41,3.79,2,1,1,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,5,ata,Marinho,68952,6,0,2.6,2,5.74,0,5.74,2,2,3,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Jean Pyerre,98832,6,3.1,5.57,3,8.6,-0.71,9.309999999999999,1,5,2,NA,5,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Michel,71920,6,1.1,0.8,5,4.04,0.68,3.36,11,1,NA,NA,4,13,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Alisson,81845,6,5.4,4.6,4,7.35,0.59,6.76,5,NA,6,NA,9,6,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Leonardo,86973,6,7.5,2.96,5,6.32,1.49,4.83,4,2,1,NA,8,5,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Vico,95622,6,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Pepê,91201,6,0,-1.95,2,2.45,0,2.45,1,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Juninho Capixaba,94968,6,6.7,5.48,4,8.08,1.25,6.83,11,NA,11,NA,7,12,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,5,ata,Luan,86759,6,0,3,4,10.15,0,10.15,2,NA,5,1,11,1,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Felipe Vizeu,94138,6,7.1,1,6,3.63,1.73,1.9,4,1,2,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Brenno,100830,6,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Matheus Henrique,100742,6,0,0.76,5,3.9,0,3.9,6,1,9,NA,14,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Rodrigues,91251,6,10,10,1,4.03,2.03,2.0000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2019
