clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,PE,RB,CA,DD,GS,SG,DP,FT,I,G,A,CV,PP,GC,ano
266,Fluminense,2,Dúvida,2,lat,Gilberto ,80313,8,0,1.23,6,6.14,0,6.14,8,1,3,3,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Cássio,42234,8,0,5.35,6,8.71,0,8.71,NA,NA,NA,2,3,NA,2,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,8,0,7.97,6,22.89,0,22.89,NA,NA,NA,2,4,NA,NA,15,6,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,8,10.7,4.25,7,11.65,2.01,9.64,NA,NA,NA,NA,1,NA,NA,11,10,2,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Nico López,84709,8,-2.1,2.55,7,14.13,-1.01,15.14,8,4,9,7,14,7,2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,5,ata,Gabriel,83257,8,1.3,6.67,6,15.79,-2.54,18.33,4,6,6,8,15,2,1,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Kannemann,87342,8,0,3.7,3,14.7,0,14.7,9,NA,NA,4,3,5,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Fagner,42500,8,0,9.9,5,15.29,0,15.29,1,1,1,10,20,14,1,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,8,10.1,6.27,8,16.85,1.11,15.740000000000002,7,3,3,10,18,16,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Rodrigo Moledo,63354,8,0,4.68,5,7.09,0,7.09,1,1,1,1,2,6,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Iago,97868,8,0,3.32,5,9.28,0,9.28,7,2,NA,2,16,6,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,2019
262,Flamengo,5,Contundido,1,gol,Diego Alves,38509,8,16.4,5.28,5,7.78,2.52,5.26,NA,NA,NA,NA,2,NA,NA,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,1,gol,Victor,52950,8,2.4,4.02,8,7.58,-0.31,7.89,NA,NA,NA,NA,6,NA,1,17,10,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Víctor Cuesta,79113,8,4.4,5.67,7,13.67,-0.94,14.61,7,NA,NA,5,11,22,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Cazares,81682,8,4.1,6.07,4,10.49,-0.8,11.290000000000001,3,6,5,2,13,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Renê,78445,8,8.7,4.36,5,8.12,0.4,7.719999999999999,2,1,1,4,14,10,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Réver,52253,8,3.9,3.62,6,11.23,-0.52,11.75,1,2,1,1,10,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,5,ata,Bruno Henrique,90285,8,0.1,5.84,7,18.09,-2.47,20.56,12,7,9,10,9,1,2,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,8,4.6,1.92,4,8.3,0.54,7.760000000000001,5,3,5,5,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Everton,86757,8,0,6.68,6,17.31,0,17.31,NA,3,4,4,9,8,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Gatito Fernández,74061,8,0,2.97,7,7.8,0,7.8,NA,NA,NA,2,4,NA,3,8,6,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,8,3.1,4.39,7,12.1,-1.01,13.11,9,3,2,8,20,12,3,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Pedro Geromel,80853,8,13.1,6.57,7,14.75,2.68,12.07,3,1,3,4,12,23,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Lucas Frigeri,84854,8,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,2,lat,Igor Fernandes,82635,8,10.7,3.6,5,4.69,2.19,2.5000000000000004,7,NA,NA,5,10,11,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Daniel Amorim,82880,8,1.2,2.23,6,6.08,0.1,5.98,3,2,3,8,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Getúlio,90573,8,7.5,2.85,7,7.51,1.41,6.1,5,3,3,9,5,8,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Alex Silva,84861,8,0,1.7,1,4.35,0,4.35,2,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Marquinhos,98765,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Mosquera,86116,8,0,0.5,2,2.69,0,2.69,2,NA,2,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Rodriguinho,61033,8,0,2.48,5,5.52,0,5.52,3,1,3,7,9,4,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,João Paulo,86770,8,2.7,1.6,8,4.75,0.1,4.65,17,3,3,16,24,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Jaques,104128,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Gabriel Lima,98400,8,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Maurício,96464,8,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Kunde,95476,8,4.9,0.97,3,1.64,0.91,0.7299999999999999,5,NA,NA,NA,7,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Cláudio Vitor,98888,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,6,tec,Geninho,36886,8,4.77,2.99,8,6.41,0.48,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,3,Suspenso,4,mei,Luan Pereira,99900,8,-1.3,1.23,6,2.6,-0.66,3.2600000000000002,5,1,2,6,8,5,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Léo Lopes,96965,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Lourenço,99032,8,6.2,4.82,5,4.94,0.87,4.07,6,3,2,12,17,12,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Wesley,99462,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Iury,101846,8,0,2.93,3,6.76,0,6.76,4,NA,NA,2,14,4,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Nathan,87009,8,0,2.96,5,5.07,-0.4,5.470000000000001,1,2,2,1,4,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Gustavo,101316,8,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Ricardo,101491,8,2.1,2.32,5,4.15,0.16,3.99,6,1,1,1,13,6,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Nuno,104326,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Falcão,104104,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Marcinho,102380,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Brizuela,104819,8,2,2.98,4,6.71,-0.62,7.33,2,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Rodrigo,104328,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,João Vitor,104329,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Fernando Castro,102609,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
