clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FD,FF,FS,G,PE,RB,FC,SG,I,A,DD,GS,FT,DP,GC,PP,CV,ano
284,Grêmio,7,Provável,5,ata,Everton,86757,9,0,6.68,6,17.31,0,17.31,1,3,4,4,3,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Pedro Geromel,80853,9,0,6.57,7,14.75,0,14.75,2,1,3,4,NA,12,23,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,5,ata,Bruno Henrique,90285,9,2.5,5.42,8,18.07,-0.02,18.09,2,7,11,13,4,11,1,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,9,-1.4,5.42,9,14.72,-2.13,16.85,2,4,4,10,2,21,16,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Renê,78445,9,5,4.47,6,7.82,-0.3,8.120000000000001,1,1,1,4,NA,19,11,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Cássio,42234,9,0,5.35,6,8.71,0,8.71,2,NA,NA,2,NA,3,NA,NA,4,NA,NA,8,4,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,9,-0.9,-0.3,3,5.2,-0.54,5.74,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Fagner,42500,9,0,9.9,5,15.29,0,15.29,1,1,1,10,NA,20,14,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Marquinhos Silva,38515,9,0,2.5,4,6.52,0,6.52,1,NA,4,4,NA,14,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,5,ata,Gabriel,83257,9,14.3,7.76,7,18.25,2.46,15.79,2,8,10,9,5,16,4,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Kannemann,87342,9,0,3.7,3,14.7,0,14.7,3,NA,NA,4,1,3,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,1,gol,Diego Alves,38509,9,0,5.28,5,7.78,0,7.78,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,9,5,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,André Moritz,42208,9,0,1.13,3,3.64,0,3.64,NA,1,3,2,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,9,2,3.72,9,5.45,-1.19,6.640000000000001,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,15,11,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Matheus Barbosa,74069,9,1.3,1.67,6,3.8,-0.46,4.26,NA,1,2,3,NA,16,10,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Gustavo,101316,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Nico López,84709,9,6.1,2.99,8,15.29,1.16,14.129999999999999,2,5,10,7,NA,17,11,10,NA,4,NA,NA,NA,2,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Daniel Amorim,82880,9,0.4,1.97,7,5.83,-0.25,6.08,NA,3,3,9,1,4,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,9,-1,3.59,8,9.68,-1.97,11.65,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,12,12,NA,1,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Glédson,73533,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Pedro Castro,78840,9,-0.9,1.86,9,3.5,-0.42,3.92,NA,2,4,13,NA,21,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Julinho,73501,9,4.3,4.3,1,2.43,0.43,2,NA,1,1,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,2,lat,Igor Fernandes,82635,9,2,3.33,6,3.59,-1.1,4.6899999999999995,2,NA,1,5,NA,11,13,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Alex Silva,84861,9,0,1.7,1,4.35,0,4.35,1,1,1,3,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Gegê,82474,9,-0.3,3.54,5,3.23,-1.08,4.3100000000000005,NA,2,2,4,NA,6,10,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Lucas Frigeri,84854,9,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Iury,101846,9,0,2.93,3,6.76,0,6.76,1,NA,NA,2,NA,14,4,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Marcinho,102380,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Ricardo,101491,9,0,2.32,5,4.15,0,4.15,1,1,1,1,NA,13,6,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Caio Paulista,102318,9,1.2,2.74,5,2.87,-0.21,3.08,NA,3,3,8,NA,11,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Falcão,104104,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Mosquera,86116,9,0,0.5,2,2.69,0,2.69,NA,NA,2,2,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Dudu,104327,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,João Paulo,86770,9,1.5,1.59,9,4.58,-0.17,4.75,1,3,3,16,NA,24,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Nuno,104326,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Getúlio,90573,9,-1.3,2.33,8,6.02,-1.49,7.51,NA,3,3,10,NA,6,8,8,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Rodrigo,104328,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,João Vitor,104329,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Brizuela,104819,9,0,2.98,4,6.71,0,6.71,NA,NA,1,2,1,3,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Kunde,95476,9,-2.5,0.1,4,0.75,-0.89,1.6400000000000001,2,NA,NA,1,NA,7,3,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Jonathan,37662,9,-0.3,0.43,3,3.68,-1.03,4.71,1,1,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Paulo André,37604,9,1.5,0.88,5,3.89,-0.02,3.91,1,NA,1,NA,NA,3,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Léo Lopes,96965,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Maurício,96464,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Gabriel Lima,98400,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Wellington,62129,9,-3.3,-1.56,8,0.75,0,0.75,3,NA,NA,2,NA,20,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Márcio Azevedo,42491,9,0,2.41,7,4.16,0,4.16,2,NA,NA,10,NA,17,5,13,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Bergson,68696,9,0,1.4,8,4.48,-0.27,4.75,1,5,8,9,NA,9,4,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Cláudio Vitor,98888,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,6,tec,Geninho,36886,9,0.7,2.74,9,5.75,-0.66,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,9,0,1.2,1,4.3,0,4.3,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Wesley,99462,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,9,-1.3,1.95,8,5.25,-0.95,6.2,1,NA,NA,1,NA,8,NA,1,2,NA,NA,10,10,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Luan Pereira,99900,9,0,1.23,6,2.6,0,2.6,3,1,2,6,NA,8,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Marcelo Cirino,69022,9,4.2,3.97,9,7.64,0.79,6.85,NA,4,5,8,3,12,5,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,4,mei,Nikão,69705,9,1.3,3.98,7,16.48,-0.22,16.7,2,6,7,8,1,8,5,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Lourenço,99032,9,0.9,4.17,6,4.19,-0.75,4.94,1,3,2,13,NA,19,13,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Ernando,49651,9,0,4.64,8,10.78,0,10.78,NA,NA,NA,4,1,3,4,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Gilberto,61188,9,0,6.67,6,17.49,0,17.49,NA,4,7,1,2,8,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,9,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,9,3.05,3.76,9,10.6,-0.21,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,9,0,-1.9,2,3.31,0,3.31,2,NA,NA,1,NA,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Jackson,70934,9,-0.1,-0.1,1,4.48,-1.52,6,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Fernando Medeiros,92841,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Nilton,38573,9,-0.3,-0.16,5,2.91,-0.38,3.29,2,NA,1,6,NA,7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Rogério,73540,9,4.3,2.95,7,9.4,0.56,8.84,NA,5,4,11,1,7,3,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Elton,71719,9,3.6,1.54,8,5.11,0.53,4.58,NA,NA,3,NA,NA,12,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Fernandão,62033,9,11.1,3.86,8,8.47,1.72,6.750000000000001,NA,5,9,7,2,6,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,4,mei,Élber,74140,9,0,3.22,5,5.51,0,5.51,NA,1,2,11,NA,9,8,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,5,ata,Arthur Caíke,80337,9,7.5,4.07,7,11.43,0.8,10.629999999999999,NA,3,8,2,2,10,NA,5,NA,2,1,NA,NA,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Yuri,83263,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Clayton,81770,9,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Jaques,104128,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Moisés,90444,9,4.4,6,7,13.18,-1.21,14.39,2,1,5,3,NA,14,20,13,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Luís Fernando,94971,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Lucas Fonseca,80189,9,-0.6,2.42,9,4.86,-0.84,5.7,NA,1,NA,2,NA,18,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,1,gol,Douglas Friedrich,78584,9,9,7.62,8,12.41,-0.16,12.57,NA,NA,NA,2,NA,2,1,NA,4,NA,NA,19,9,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Max,94982,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Felipinho,94981,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Neto,69008,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Iago,90894,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Marco Antônio,94975,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Flávio,91102,9,1.9,0.95,2,2.52,0.27,2.25,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Geovane Itinga,94980,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Paulinho,91626,9,0,4.35,2,4.86,0,4.86,1,NA,NA,NA,NA,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandinho,91130,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Gregore,95464,9,0,3.56,8,11.2,0,11.2,3,NA,3,4,NA,23,34,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Artur,95799,9,0,4,8,10.16,0,10.16,3,4,3,10,3,29,10,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Everson,91929,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Douglas,92497,9,1.1,2.21,7,5.49,0.29,5.2,1,3,4,6,NA,11,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,9,-0.5,1.6,6,4.47,-0.32,4.79,2,NA,1,6,NA,9,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Fernando Castro,102609,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Rodrigo Alves,98184,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Douglas Borel,104634,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Lepu,97522,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Shaylon,97520,9,0.9,0.62,4,3.46,-0.32,3.78,NA,NA,1,2,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,4,mei,Ramires,103295,9,-2.2,2.21,9,10.28,-0.77,11.049999999999999,1,2,4,5,NA,9,9,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2019
