clube_id,clube,rodada_id,clube_rank,ano
327,América-MG,19,20,2016
282,Atlético-MG,19,3,2016
293,Atlético-PR,19,9,2016
263,Botafogo,19,11,2016
315,Chapecoense,19,10,2016
264,Corinthians,19,4,2016
294,Coritiba,19,16,2016
283,Cruzeiro,19,14,2016
316,Figueirense,19,18,2016
262,Flamengo,19,2,2016
266,Fluminense,19,8,2016
284,Grêmio,19,6,2016
285,Internacional,19,17,2016
275,Palmeiras,19,1,2016
303,PontePreta,19,7,2016
344,SantaCruz,19,19,2016
277,Santos,19,5,2016
276,SãoPaulo,19,12,2016
292,Sport,19,13,2016
287,Vitória,19,15,2016
