clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,GS,PE,SG,CA,FC,FS,RB,FD,FF,A,G,I,CV,FT,PP,GC,ano
283,Cruzeiro,6,Nulo,1,gol,Fábio,37656,10,5,3.75,9,10.75,1.07,9.68,12,1,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,10,1.1,1.83,9,3.34,0.2,3.1399999999999997,NA,NA,NA,17,2,4,7,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Rafael Moura,37655,10,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,6,tec,Ney Franco,37246,10,4.43,3.5,10,9.1,0.3,8.799999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alecsandro,37673,10,-0.1,-0.1,1,5.28,-1.72,7,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Henrique,37694,10,6.3,3.62,8,8.04,0.43,7.609999999999999,NA,NA,NA,11,NA,NA,11,8,18,1,7,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Mano Menezes,37281,10,3.84,3.28,10,9.66,0.59,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,10,4.6,4.27,3,6.04,-0.08,6.12,NA,NA,NA,9,1,NA,2,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,10,0,5.56,9,13.37,0,13.37,NA,NA,NA,17,NA,1,2,27,12,2,4,1,2,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Evandro,37614,10,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,10,2.6,0.97,4,4.22,0.54,3.6799999999999997,NA,NA,NA,6,1,2,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Edinho,37792,10,0,-3.4,1,1.89,0,1.89,NA,NA,NA,6,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,10,0,-2.3,1,3.31,0,3.31,2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Rafael Sobis,37798,10,3.2,3.9,7,7.3,-1.96,9.26,NA,NA,NA,3,NA,2,6,5,3,8,7,1,1,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,10,0,-1,1,2.08,0,2.08,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,10,0,5.5,2,5.46,0,5.46,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,1,gol,Fernando Prass,38140,10,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,3,zag,Edu Dracena,37657,10,0.7,4.77,3,6.41,-0.81,7.220000000000001,NA,NA,NA,1,2,NA,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,10,0,1.65,6,8.23,0,8.23,NA,NA,NA,17,NA,NA,2,6,4,6,1,NA,NA,2,NA,NA,NA,NA,2019
262,Flamengo,2,Dúvida,2,lat,Rafinha,38144,10,3,3,1,8.67,-1.33,10,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Figueira,102565,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Jonathan,102597,10,0,2,3,1.87,0,1.87,NA,NA,NA,4,1,2,2,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Maicon,38196,10,0,2.15,4,8.35,0,8.35,NA,NA,NA,14,NA,2,5,2,7,1,2,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Thiaguinho,102599,10,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Nathan,102607,10,0,0.43,4,1.44,0,1.44,NA,NA,NA,5,NA,NA,3,2,5,1,NA,NA,NA,NA,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Helinho,102598,10,0,0.67,3,3.96,0,3.96,NA,NA,NA,5,NA,NA,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,Yago Darub,102686,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hulk,102700,10,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Dudu,102852,10,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Fernando Castro,102609,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Moresche,102719,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Rodrigo Fernandes,102771,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,4,mei,Yann Rolim,102892,10,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Romarinho Gouveia,102891,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Gabriel Poveda,102877,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Zé Ricardo,102911,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Matheus Teixeira,102907,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Terans,102878,10,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Vini Locatelli,102998,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Luan,102909,10,3.9,0.3,5,3.74,1.03,2.71,NA,NA,NA,10,NA,1,10,1,6,1,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Antonini,103069,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Éderson,103099,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rhuan,102958,10,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Tharlis,102997,10,0,2.9,1,3.43,0,3.43,NA,NA,NA,2,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,10,0,3.31,8,10.45,0,10.45,NA,NA,NA,11,1,1,7,9,6,NA,1,NA,2,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Andrew,103183,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Mateus Gonçalves,103076,10,0.4,0.25,4,2.25,-0.16,2.41,NA,NA,NA,6,NA,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Régis,102999,10,0,2.04,5,4.34,0,4.34,NA,NA,NA,7,NA,NA,4,2,6,2,3,NA,NA,1,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Yuri ,103446,10,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Kaio Jorge,103445,10,0,0,1,0.75,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Antony,103455,10,3.8,4.25,7,11.19,-0.12,11.309999999999999,NA,NA,NA,28,NA,1,1,23,5,2,4,2,NA,NA,NA,2,NA,NA,2019
