clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,FT,G,PE,RB,SG,DD,GS,DP,I,PP,CV,GC,ano
290,Goiás,6,Nulo,5,ata,Rafael Moura,37655,11,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,11,-1.8,5.04,7,9.88,-2.99,12.870000000000001,1,2,18,4,6,8,1,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,11,2.9,3.93,4,5.91,-0.13,6.04,1,NA,2,NA,NA,5,NA,NA,11,5,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Mano Menezes,37281,11,6.13,3.54,11,10.26,0.6,9.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,11,0,-2.3,1,3.31,0,3.31,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,11,6.1,4.01,11,9.85,0.76,9.09,NA,NA,9,2,3,15,NA,NA,14,27,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Edinho,37792,11,0,-3.4,1,1.89,0,1.89,NA,1,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,11,3.8,2.03,10,3.93,0.59,3.3400000000000003,NA,4,7,NA,NA,10,NA,NA,21,12,3,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Fábio,37656,11,0,3.75,9,10.75,0,10.75,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,12,12,1,NA,NA,NA,NA,2019
262,Flamengo,2,Dúvida,2,lat,Rafinha,38144,11,0,3,1,8.67,0,8.67,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Evandro,37614,11,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,11,1.4,1.61,7,8.15,-0.08,8.23,NA,NA,2,6,2,6,NA,NA,20,5,NA,NA,NA,NA,2,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Jonathan,37662,11,0,0.97,4,4.22,0,4.22,NA,2,4,1,NA,2,NA,NA,6,3,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Henrique,37694,11,0,3.62,8,8.04,0,8.04,NA,NA,11,1,7,8,NA,NA,11,18,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,11,0,4.77,3,6.41,0,6.41,NA,NA,2,1,3,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alecsandro,37673,11,-1,-0.55,2,4.32,-0.96,5.28,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,3,zag,Ernando,49651,11,0,4.64,8,10.78,0,10.78,NA,NA,2,NA,NA,4,1,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,11,0,3.5,3,5.46,0,5.46,NA,1,3,NA,1,4,NA,NA,6,2,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,11,0,-1,1,4.63,0,4.63,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Fagner,42500,11,0.1,7.88,7,12.84,-0.97,13.81,2,2,6,1,2,14,NA,NA,27,17,5,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Luiz Felipe Scolari,43618,11,2.94,4.96,6,12.23,-0.2,12.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,11,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Alexandre Pato,49675,11,2.4,3.93,10,8.21,0.21,8,NA,NA,7,4,11,13,NA,3,21,5,NA,NA,NA,NA,5,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Júlio César,49673,11,4,4.5,2,5.73,-0.32,6.050000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Everton,50301,11,8.4,2.44,7,8.77,1.39,7.38,2,NA,15,2,1,8,NA,1,12,3,NA,NA,NA,NA,3,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,11,0,-1.9,2,3.31,0,3.31,NA,2,3,NA,NA,1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,5,Contundido,4,mei,Ramires,50293,11,1.3,1.3,1,8.11,-1.89,10,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,4,mei,Elicarlos,50313,11,0,1.52,6,5.19,0,5.19,NA,1,9,2,5,4,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,11,0,3.43,10,11.16,0,11.16,1,2,19,4,1,8,NA,1,14,20,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Maicon,38196,11,0,2.15,4,8.35,0,8.35,1,2,5,1,2,2,NA,NA,14,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,11,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,11,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Thiago Neves,38277,11,0,4.43,9,7.65,0,7.65,1,2,6,5,11,6,1,3,13,1,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,David Braz,50317,11,2,2.55,2,6.6,-0.14,6.739999999999999,NA,NA,1,1,1,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,3,Suspenso,5,ata,Rafael Sobis,37798,11,1.4,3.59,8,7.04,-0.26,7.3,1,3,7,9,9,6,NA,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Fábio Santos,38229,11,0,3.31,8,10.45,0,10.45,NA,1,7,NA,1,9,NA,2,11,6,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,11,0,-0.34,5,3.41,0,3.41,1,2,3,NA,2,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,11,0,0.6,8,5.16,0,5.16,1,1,7,2,4,7,1,NA,16,1,NA,NA,NA,NA,7,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Adriano,38336,11,0,0,0,13,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,11,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,11,0,5.5,2,5.46,0,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Thiago Heleno,38394,11,0,-2.1,2,1.27,0,1.27,NA,2,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,11,-1.4,-0.16,5,4.96,-0.6,5.56,NA,NA,1,NA,1,3,NA,NA,12,1,NA,NA,NA,NA,1,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Hernanes,38648,11,4.7,4.28,10,14.37,-0.42,14.79,2,1,7,7,7,12,NA,1,9,9,NA,NA,NA,NA,1,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,11,0.7,3.8,7,5.56,0.13,5.43,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,10,7,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,4,mei,Diego,38909,11,2.2,1.53,9,5.52,-0.41,5.93,NA,5,10,6,7,16,2,NA,25,9,NA,NA,NA,NA,NA,1,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,11,10.6,10.6,1,10.63,-0.37,11,NA,NA,1,NA,NA,3,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,2019
262,Flamengo,6,Nulo,2,lat,Filipe Luís,38750,11,0,0,0,15,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,11,0,3.56,7,6.23,0,6.23,NA,1,7,4,3,2,NA,1,6,11,NA,NA,NA,NA,1,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,11,0,4.33,7,5.91,0,5.91,NA,NA,2,3,3,5,NA,1,24,8,2,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,11,6.9,5.69,10,13.89,0.52,13.370000000000001,1,1,3,2,5,30,NA,2,20,16,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,11,0,2.5,4,6.52,0,6.52,NA,1,2,NA,4,4,NA,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
