clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FF,PE,RB,FD,FS,SG,DD,DP,GS,A,CA,G,FT,I,CV,PP,GC,ano
341,CSA,7,Provável,5,ata,Alecsandro,37673,13,-0.2,-0.43,3,3.82,-0.5,4.32,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,3,zag,Edu Dracena,37657,13,0,4.7,4,6.97,0,6.97,3,3,1,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,13,0,3.28,11,8.58,0,8.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,13,-1.3,3.25,10,9.4,-1.35,10.75,NA,NA,2,NA,NA,NA,3,13,1,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,13,1.6,4.9,3,9.05,-1.17,10.22,4,NA,6,7,NA,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,2,lat,Thiago Carleto,51700,13,0,2.6,4,7.44,0,7.44,4,1,16,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,13,0,4.32,5,7.3,0,7.3,4,NA,7,6,1,3,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,3,Suspenso,5,ata,Fred,38162,13,-0.4,0.05,10,4.64,0.42,4.22,11,4,21,1,3,12,NA,NA,NA,NA,1,3,NA,1,8,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,13,4.5,2.26,12,4.32,0.53,3.79,10,1,24,17,NA,12,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,3,Suspenso,4,mei,Maicon,38196,13,1.3,1.98,5,7.81,-0.54,8.35,6,2,18,7,1,2,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2019
