clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,PE,RB,FD,FF,FS,A,CA,G,I,SG,FT,DD,DP,GS,CV,GC,PP,ano
277,Santos,6,Nulo,4,mei,Evandro,37614,14,0,0.8,2,4.67,-0.38,5.05,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,14,5.5,4.24,10,8.43,-0.09,8.52,13,12,26,2,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alecsandro,37673,14,4.7,0.85,4,4.92,1.1,3.82,6,4,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,14,-0.3,5.16,13,12.96,-0.27,13.23,5,26,18,2,7,36,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Lucas Halter,102253,14,0.6,1.6,5,2.6,-0.04,2.64,4,6,4,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Fred,38162,14,0,0.05,10,4.64,0,4.64,11,21,1,3,4,12,1,3,NA,8,NA,1,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,14,-0.5,2.91,11,9.42,0.02,9.4,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,14,1,16,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,14,0,4.7,4,6.97,0,6.97,3,1,4,1,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,Diego Tardelli,38231,14,0,2.53,9,9.75,0,9.75,3,24,6,8,3,8,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,14,2.55,3.22,12,8.63,0.05,8.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,14,0,4.32,5,7.3,0,7.3,4,7,6,1,NA,3,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Maicon,38196,14,0,1.98,5,7.81,0,7.81,6,18,7,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,2,Dúvida,5,ata,Caio Paulista,102318,14,3,2.48,8,3.37,0.47,2.9000000000000004,11,14,11,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Araos,102352,14,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Gabriel,102290,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
