clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,RB,DD,GS,PE,SG,A,CV,FD,FF,FS,FT,G,I,DP,PP,GC,ano
356,Fortaleza,6,Nulo,4,mei,Derley,60791,15,-2.5,-0.5,2,3.15,-0.93,4.08,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,15,0,3.32,9,6.56,0,6.56,1,NA,NA,17,11,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Elias,54395,15,-1.9,1.99,13,8.74,-1.58,10.32,1,15,18,NA,NA,41,NA,1,1,2,2,11,1,1,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,15,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,15,5.2,2.4,14,4.69,0.8,3.8900000000000006,4,11,21,NA,NA,26,3,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alecsandro,37673,15,0.9,0.86,5,4.36,-0.56,4.92,NA,7,1,NA,NA,5,NA,NA,NA,3,4,2,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,15,0,7.65,11,18.43,0,18.43,NA,7,8,NA,NA,14,NA,2,NA,4,10,6,NA,7,4,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,15,-0.6,1.83,11,4.71,-0.22,4.93,2,12,11,NA,NA,24,4,NA,1,NA,1,10,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,15,0,2.48,5,5.52,0,5.52,2,3,4,NA,NA,9,NA,NA,NA,1,3,7,NA,1,1,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Patric,60969,15,0,1.66,8,3.91,0,3.91,3,18,6,NA,NA,23,3,1,NA,1,5,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,15,0,4.32,5,7.3,0,7.3,2,4,6,NA,NA,7,2,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Uendel,60852,15,0,4.42,5,3.87,0,3.87,NA,9,11,NA,NA,10,2,NA,NA,1,3,2,NA,NA,3,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,15,0,4.7,4,6.97,0,6.97,NA,3,4,NA,NA,1,2,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,3,zag,Dedé,60819,15,5,5.18,13,15.79,0.32,15.469999999999999,2,10,22,NA,NA,28,4,NA,NA,4,6,12,NA,2,NA,NA,NA,NA,2019
290,Goiás,2,Dúvida,5,ata,Rafael Moura,37655,15,0.1,0.57,3,3.6,-0.32,3.92,NA,4,1,NA,NA,2,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,15,8,3.33,12,10.95,1.53,9.42,NA,NA,NA,15,16,2,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2019
265,Bahia,7,Provável,5,ata,Lucca,61149,15,3.7,1.72,5,5.31,1.1,4.209999999999999,1,8,3,NA,NA,7,NA,NA,NA,4,3,10,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,15,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,15,-1.3,2.87,10,6.14,-0.23,6.37,1,10,7,NA,NA,25,NA,3,NA,6,8,10,NA,NA,2,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,15,0,-0.55,6,2.46,0,2.46,2,6,4,NA,NA,6,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Robinho,62104,15,-0.8,0.93,10,6,-0.01,6.01,4,16,10,NA,NA,54,NA,1,NA,2,7,11,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Rodrigo Moledo,63354,15,0,4.85,6,7.15,0,7.15,NA,2,7,NA,NA,3,2,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,15,3.2,2.63,13,7.02,0.71,6.31,NA,4,5,NA,NA,9,NA,NA,1,6,12,11,NA,2,4,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,D'Alessandro,62023,15,0,1.26,8,6.15,0,6.15,NA,NA,1,NA,NA,33,NA,1,NA,4,4,6,NA,1,3,NA,1,NA,2019
277,Santos,6,Nulo,2,lat,Pará,62086,15,-1.1,1.93,7,4.44,-0.98,5.42,3,7,9,NA,NA,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,15,0,7.97,6,22.89,0,22.89,NA,NA,NA,15,6,4,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,15,0,-1,1,4.33,0,4.33,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,15,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,15,-1.1,-1.32,11,0.78,0.02,0.76,4,19,6,NA,NA,25,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,15,2.1,3.66,15,10.89,-0.47,11.360000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,15,0,2.6,4,6.27,0,6.27,1,2,2,NA,NA,3,NA,2,NA,NA,1,2,NA,NA,1,NA,NA,NA,2019
356,Fortaleza,7,Provável,2,lat,Carlinhos,63194,15,0,3.53,12,5.58,0,5.58,2,21,26,NA,NA,25,1,1,1,3,6,9,NA,1,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Willian Farias,63058,15,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,15,0,-1.08,5,0.75,0,0.75,NA,4,NA,NA,NA,5,NA,NA,NA,3,NA,1,NA,NA,2,NA,NA,1,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,15,0,-0.67,6,2.22,0,2.22,NA,NA,NA,7,12,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,2,lat,Marcos Rocha,63013,15,-0.3,5.75,9,15.34,-0.83,16.169999999999998,1,16,22,NA,NA,22,3,1,NA,NA,3,10,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Edenílson,63289,15,0,3.22,10,9.01,0,9.01,3,10,8,NA,NA,24,NA,1,NA,3,1,10,NA,3,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Didira,63178,15,0,1.38,12,4.9,0,4.9,3,14,16,NA,NA,21,NA,NA,NA,2,3,14,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Ganso,62977,15,2.9,2.28,10,8.2,0.76,7.4399999999999995,4,9,10,NA,NA,33,NA,NA,NA,6,10,14,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Alan Ruschel,63110,15,0,0.8,6,4.44,0,4.44,3,16,4,NA,NA,8,1,NA,NA,2,1,14,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,15,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Douglas,63128,15,0,0.3,10,3.12,0,3.12,5,15,6,NA,NA,9,2,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,2,Dúvida,4,mei,Luan,63219,15,0,3.08,10,7.36,0,7.36,2,16,22,NA,NA,33,NA,1,NA,3,7,19,NA,NA,NA,NA,1,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,15,0,2.27,10,8.69,0,8.69,1,10,6,NA,NA,11,NA,1,NA,4,4,11,1,1,3,NA,1,NA,2019
