clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,RB,SG,DD,GS,DP,FT,PP,CV,GC,ano
315,Chapecoense,7,Provável,5,ata,Everaldo,78117,17,5,5.96,16,17.29,0.77,16.52,1,4,36,17,24,27,8,2,39,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Henrique Almeida,68773,17,4,2.93,3,4.19,0.21,3.9800000000000004,NA,1,1,1,3,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Rafael Moura,37655,17,2,0.68,5,3.79,0.4,3.39,NA,NA,6,1,2,4,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Madson,78077,17,6.2,4.62,9,6.21,-0.14,6.35,NA,NA,9,NA,1,11,1,NA,16,11,4,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,2,lat,João Lucas,86740,17,0.3,2.38,14,9.46,-0.44,9.9,NA,1,8,3,1,8,1,4,35,17,2,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,17,0,3.17,13,9.44,0,9.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,17,0.51,3.07,15,8.31,-0.55,8.860000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,17,0,1.2,1,4.3,0,4.3,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,17,3.4,1.12,5,5.04,0.56,4.48,NA,NA,6,1,1,3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,6,tec,Oswaldo de Oliveira,36940,17,2.99,2.99,1,6.42,-0.48,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,17,0,4.7,4,6.97,0,6.97,NA,NA,3,1,3,2,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,César,78086,17,0,4.62,4,6.1,0,6.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,7,4,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,17,12,3.6,14,11.69,2.42,9.27,NA,1,NA,NA,NA,1,NA,NA,4,NA,5,16,17,2,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,2,lat,Léo Moura,37701,17,0,3,7,5.69,0,5.69,1,NA,2,NA,1,7,NA,NA,21,6,2,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,17,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alecsandro,37673,17,-3.1,0.27,7,3.35,-0.9,4.25,NA,NA,11,4,5,3,NA,4,8,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,17,0,4.32,5,7.3,0,7.3,NA,2,4,1,NA,3,1,NA,7,6,2,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,17,0,-2.3,1,3.31,0,3.31,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Rafael Sobis,37798,17,8,3.89,11,8.22,0.68,7.540000000000001,2,3,7,10,11,9,1,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,1,gol,Fernando Prass,38140,17,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
