clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,CV,FC,FD,FF,FS,G,PE,RB,SG,I,A,PP,GC,DD,GS,FT,DP,ano
315,Chapecoense,5,Contundido,1,gol,Vagner,78151,20,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,3,Suspenso,3,zag,Gustavo Henrique,78248,20,0,2.52,16,5.48,0,5.48,6,1,16,3,3,9,1,21,12,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Fabinho,101729,20,0,-0.5,1,0.77,0,0.77,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Uribe,78415,20,1.3,-0.08,8,4.31,0.18,4.13,2,NA,4,3,6,NA,NA,6,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,20,6.15,3.3,18,9.32,0.4,8.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Everaldo,78117,20,-4,5.09,19,15.35,-1.35,16.7,5,NA,41,21,28,32,8,46,9,NA,2,1,1,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,20,0,1.2,1,4.3,0,4.3,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,20,5.55,3.46,16,9.83,0.17,9.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,20,0,1.12,5,5.04,0,5.04,NA,NA,6,1,1,3,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,2,lat,João Lucas,86740,20,1.5,2.15,17,9.36,-0.85,10.209999999999999,1,NA,8,3,2,8,1,37,19,3,4,NA,NA,1,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,6,tec,Oswaldo de Oliveira,36940,20,1.19,3.4,4,6.97,-0.55,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,César,78086,20,0,4.62,4,6.1,0,6.1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,7,4,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Vitinho,78435,20,0.1,3.76,10,8.16,-0.78,8.94,NA,NA,12,7,8,10,2,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Willian Arão,78478,20,3.6,4.77,18,13.72,0.31,13.41,1,NA,27,4,9,11,1,41,40,NA,NA,5,NA,NA,NA,NA,1,NA,2019
354,Ceará,2,Dúvida,4,mei,Ricardinho,78577,20,0,4.31,17,7.33,0,7.33,1,NA,20,13,14,5,1,42,27,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Alex Amado,78475,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,2,lat,Renê,78445,20,0,4.03,12,8.04,0,8.04,1,NA,9,1,1,6,NA,29,19,5,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Paulinho,78512,20,0,0.85,4,1.93,0,1.93,NA,NA,7,NA,2,4,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Danilo Barcelos,84382,20,8.7,3.76,13,6.64,1.28,5.359999999999999,NA,1,20,5,6,8,2,28,16,2,1,1,NA,NA,NA,NA,1,NA,2019
354,Ceará,6,Nulo,3,zag,Eduardo Brock,78654,20,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
