clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,DD,GS,SG,CV,FT,DP,GC,ano
282,Atlético-MG,7,Provável,4,mei,Luan,63219,24,0,3.4,14,7.1,0,7.1,1,3,22,3,11,28,1,1,41,1,28,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,24,0,3.32,9,6.56,0,6.56,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,17,11,1,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,24,0,4.7,4,6.97,0,6.97,NA,NA,3,1,3,2,NA,NA,1,NA,4,NA,NA,2,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,24,0,1.49,17,4.35,0,4.35,1,3,20,NA,1,15,NA,NA,37,NA,16,NA,NA,5,2,NA,NA,NA,2019
356,Fortaleza,7,Provável,1,gol,Marcelo Boeck,37788,24,11,3.98,6,5.37,1.64,3.7300000000000004,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,12,9,2,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alecsandro,37673,24,0.8,0.77,12,3.91,-0.22,4.13,NA,1,15,5,9,6,1,4,13,1,3,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,24,0,4.32,5,7.3,0,7.3,NA,2,4,1,NA,3,1,NA,7,NA,6,NA,NA,2,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,24,-0.2,1.59,19,8.27,-0.02,8.29,1,2,24,4,4,14,1,NA,58,NA,25,NA,NA,NA,1,1,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,24,0,1.37,9,6.11,0,6.11,NA,1,5,NA,1,12,2,1,10,1,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,24,5,3.04,21,10.4,1.11,9.290000000000001,NA,2,NA,NA,NA,3,NA,NA,9,NA,NA,24,26,7,NA,NA,2,NA,2019
