clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,I,PE,RB,CV,SG,DD,GS,DP,A,G,PP,FT,GC,ano
290,Goiás,7,Provável,6,tec,Ney Franco,37246,29,4.41,3.66,27,9.72,0.3,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,29,3.5,3.37,24,8.27,-0.5,8.77,3,37,3,13,44,1,33,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,29,0,2.06,25,3.65,0,3.65,6,16,1,3,24,NA,47,30,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,29,0,4.41,7,4.9,0,4.9,1,NA,NA,NA,1,NA,3,NA,NA,2,15,10,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,29,8,3.21,26,11.08,1.75,9.33,2,NA,NA,NA,5,NA,10,NA,NA,9,29,29,2,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,29,0,4.7,4,6.97,0,6.97,NA,3,1,3,2,NA,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,29,4.2,1.25,12,4.96,0.4,4.56,NA,19,1,2,14,2,19,11,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,29,0,4.45,14,7.76,0,7.76,4,12,16,15,10,NA,20,10,NA,NA,NA,NA,NA,3,2,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,29,-0.3,1.87,14,4.97,-0.92,5.89,1,6,NA,2,11,1,36,7,NA,4,NA,NA,NA,1,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alecsandro,37673,29,1.5,1.13,17,4.21,0.16,4.05,1,20,6,10,9,6,16,5,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,29,9.58,3.99,25,11.19,1.16,10.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,29,0,4.32,5,7.3,0,7.3,2,4,1,NA,3,NA,7,6,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,29,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,29,-2.7,1.94,24,5.29,-0.39,5.68,8,41,12,10,35,12,50,4,NA,NA,NA,NA,NA,3,5,NA,1,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,29,0,5,1,7.07,0,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,29,0,4.65,15,10.52,0,10.52,5,23,3,1,13,1,26,19,NA,8,NA,NA,NA,4,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,29,2.1,1.95,22,8.2,0.28,7.919999999999999,1,18,13,6,17,5,47,11,NA,NA,NA,NA,NA,1,3,1,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,29,1.6,4.55,23,8.76,-0.64,9.4,7,22,19,29,25,2,49,14,NA,NA,NA,NA,NA,3,6,NA,1,NA,2019
