atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
37246,Ney Franco,31,2019,290,Goiás,6,tec,29,3.08,3.72,9.930000000000001,9.63,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37281,Mano Menezes,31,2019,275,Palmeiras,6,tec,27,1.72,3.99,10.65,10.07,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37614,Evandro,31,2019,277,Santos,4,mei,13,0,1.34,4.68,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37646,Betão,31,2019,314,Avaí,3,zag,27,1,1.98,4.0600000000000005,4.11,0.05,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7,Provável
37655,Rafael Moura,31,2019,290,Goiás,5,ata,16,-1.2,1.28,4.82,3.19,-1.63,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,Suspenso
37656,Fábio,31,2019,283,Cruzeiro,1,gol,28,19.7,3.72,9.87,13.26,3.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,7,Provável
37657,Edu Dracena,31,2019,275,Palmeiras,3,zag,4,0,4.7,6.97,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37662,Jonathan,31,2019,293,Athlético-PR,2,lat,5,0,4.32,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Contundido
37673,Alecsandro,31,2019,341,CSA,5,ata,19,-0.1,1.01,3.9099999999999997,3.9,-0.01,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,Nulo
37688,Cícero,31,2019,263,Botafogo,4,mei,26,1.4,2.82,11.340000000000002,11.38,0.04,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,Provável
37694,Henrique,31,2019,283,Cruzeiro,4,mei,26,1.2,3.29,8.18,7.94,-0.24,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37701,Léo Moura,31,2019,284,Grêmio,2,lat,16,3.5,2.37,6.37,5.78,-0.59,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,Provável
37788,Marcelo Boeck,31,2019,356,Fortaleza,1,gol,7,0,4.41,4.9,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37798,Rafael Sobis,31,2019,285,Internacional,5,ata,15,0,4.15,7.76,7.14,-0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38001,Anderson,31,2019,265,Bahia,1,gol,1,0,-1,2.08,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38140,Fernando Prass,31,2019,275,Palmeiras,1,gol,2,4,4.5,7.07,6.94,-0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,Nulo
38144,Rafinha,31,2019,262,Flamengo,2,lat,17,4.4,4.3,9.17,10.17,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,Suspenso
38162,Fred,31,2019,283,Cruzeiro,5,ata,25,0,1.83,5.48,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
38196,Maicon,31,2019,284,Grêmio,4,mei,12,-0.5,2.99,7.07,7.29,0.22,1,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,3,Suspenso
38229,Fábio Santos,31,2019,282,Atlético-MG,2,lat,24,8.5,2.58,10.26,10.5,0.24,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,7,Provável
38231,Diego Tardelli,31,2019,284,Grêmio,5,ata,24,10.6,2.35,8.25,9.73,1.48,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,Provável
38277,Thiago Neves,31,2019,283,Cruzeiro,4,mei,24,0,4.66,9.65,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
38279,Wellington Paulista,31,2019,356,Fortaleza,5,ata,24,0,5.03,10.77,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
38311,Márcio Araújo,31,2019,315,Chapecoense,4,mei,28,-0.4,2.68,9.280000000000001,8.39,-0.89,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
38315,Jadson,31,2019,264,Corinthians,4,mei,15,0,-0.1,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38336,Adriano,31,2019,293,Athlético-PR,2,lat,8,0,2.67,9.3,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Contundido
38394,Thiago Heleno,31,2019,293,Athlético-PR,3,zag,10,8.3,0.74,1.2500000000000002,2.47,1.22,1,1,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,7,Provável
38431,Diego Cavalieri,31,2019,263,Botafogo,1,gol,7,0,6.31,6.35,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38451,Carlinhos,31,2019,341,CSA,2,lat,24,0,4.56,7.45,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
38505,Leandro Castan,31,2019,267,Vasco,3,zag,18,-5,3.07,10.299999999999999,8.45,-1.85,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,Suspenso
38509,Diego Alves,31,2019,262,Flamengo,1,gol,26,8,5.44,8.17,9.57,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,Provável
38515,Marquinhos Silva,31,2019,314,Avaí,3,zag,13,0,1.8,5.43,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38523,Edílson,31,2019,283,Cruzeiro,2,lat,12,6.2,2.69,5.03,6.12,1.09,3,2,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,6,Nulo
38545,Felipe Melo,31,2019,275,Palmeiras,4,mei,18,0,2.74,7.04,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Suspenso
38573,Nilton,31,2019,341,CSA,4,mei,9,0,0.28,2.71,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38632,Matheus Ferraz,31,2019,266,Fluminense,3,zag,7,0,3.56,6.23,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Contundido
38648,Hernanes,31,2019,276,São Paulo,4,mei,24,2.2,3.48,12.68,13.14,0.46,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38738,Douglas,31,2019,314,Avaí,4,mei,12,0,0.27,5.08,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Contundido
38750,Filipe Luís,31,2019,262,Flamengo,2,lat,12,0,5.89,13.05,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
38909,Diego,31,2019,262,Flamengo,4,mei,10,0,1.4,4.66,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38910,Ricardo Oliveira,31,2019,282,Atlético-MG,5,ata,19,0,2.77,12.63,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38913,Nenê,31,2019,266,Fluminense,4,mei,20,-3.3,2.66,6.18,5.63,-0.55,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,Nulo
38939,Daniel Alves,31,2019,276,São Paulo,2,lat,13,-3.1,5.38,17.09,14.55,-2.54,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,Provável
38959,Vagner Love,31,2019,264,Corinthians,5,ata,22,0,2.35,5.11,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
39572,Renato,31,2019,315,Chapecoense,5,ata,11,4.9,2.12,4.6,5.47,0.87,5,2,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,7,Provável
39850,Vagner Mancini,31,2019,282,Atlético-MG,6,tec,6,8.28,3.71,6.640000000000001,7.87,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
40006,Abel Braga,31,2019,283,Cruzeiro,6,tec,16,5.69,3.64,9.51,10.24,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
41258,Adilson Batista,31,2019,354,Ceará,6,tec,9,6.71,4.02,10.14,11.31,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
41327,Vanderlei Luxemburgo,31,2019,267,Vasco,6,tec,26,0.08,3,8.49,7.96,-0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
