clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,CV,FC,FD,FF,FS,G,I,PE,RB,A,SG,PP,DD,DP,GS,FT,GC,ano
290,Goiás,7,Provável,6,tec,Ney Franco,37246,32,1.66,3.65,30,9.45,-0.18,9.629999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,32,0,1.28,16,3.19,0,3.19,3,1,32,3,12,19,3,4,21,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,32,2.64,3.94,28,10.27,0.2,10.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,32,4.7,2.89,27,11.99,0.61,11.38,8,NA,23,8,9,53,3,4,38,31,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,32,0,4.32,5,7.3,0,7.3,2,NA,4,1,NA,3,1,NA,7,6,NA,2,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alecsandro,37673,32,3.5,1.13,20,4.54,0.64,3.9,1,NA,20,6,11,11,2,7,19,7,NA,NA,1,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,32,0,1.34,13,4.68,0,4.68,NA,1,21,2,2,16,NA,2,20,12,2,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,32,-1.6,3.11,27,7.47,-0.47,7.9399999999999995,5,NA,40,3,14,49,NA,1,41,58,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,32,0.1,1.91,28,3.97,-0.14,4.11,6,1,20,1,3,28,NA,NA,50,32,NA,6,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,32,5,3.76,29,11.13,-2.13,13.260000000000002,2,NA,NA,NA,NA,5,NA,NA,11,NA,NA,11,NA,35,2,30,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,32,0,2.37,16,5.78,0,5.78,1,NA,6,NA,2,13,NA,1,37,11,1,5,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,32,0,4.7,4,6.97,0,6.97,NA,NA,3,1,3,2,NA,NA,1,4,NA,2,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,32,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,32,0,4.41,7,4.9,0,4.9,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,15,NA,10,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,32,0,4.3,17,10.17,0,10.17,6,NA,25,3,1,15,NA,1,30,20,4,9,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,32,0,4.5,2,6.94,0,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,2019
285,Internacional,7,Provável,5,ata,Rafael Sobis,37798,32,0,3.89,16,7.14,0,7.14,4,NA,12,16,15,10,2,NA,20,10,3,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,32,3.6,1.9,26,6.24,0.76,5.48,9,NA,44,13,15,37,5,14,51,5,3,NA,NA,NA,NA,NA,1,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,32,5.7,2.7,25,10.2,-0.3,10.5,5,NA,28,3,3,18,3,2,42,17,1,6,NA,NA,NA,NA,2,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,32,-1.6,2.19,25,7.82,-1.91,9.73,1,NA,22,14,7,20,4,5,54,14,1,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,32,0,2.99,12,7.29,0,7.29,6,NA,14,2,3,9,3,NA,31,14,2,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,32,5.7,2.78,29,9.46,1.07,8.39,4,1,31,4,7,42,NA,NA,37,59,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,32,1.5,4.53,25,8.88,-0.77,9.65,7,NA,22,20,33,28,6,2,56,14,4,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,32,8.4,1.44,11,2.69,0.22,2.4699999999999998,5,NA,16,5,3,13,NA,NA,17,6,NA,3,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,2,Dúvida,4,mei,Everton Ribeiro,51772,32,0.8,3.44,27,11.81,-0.05,11.860000000000001,3,NA,26,11,14,44,1,1,82,35,6,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,32,9.9,5.22,25,12.78,2.01,10.77,7,NA,47,15,18,35,13,11,38,10,2,NA,NA,NA,NA,NA,2,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Adriano,38336,32,0,2.67,8,9.3,0,9.3,3,NA,9,NA,1,3,1,NA,18,8,1,2,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,32,0,-0.1,15,2.86,0,2.86,3,NA,6,1,6,3,NA,NA,21,1,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,1,gol,Diego Cavalieri,38431,32,0,6.31,7,6.35,0,6.35,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,21,NA,9,NA,NA,2019
354,Ceará,7,Provável,3,zag,Tiago Alves,51495,32,0,2.27,18,5.9,0,5.9,1,NA,14,1,2,2,1,2,28,13,1,4,NA,NA,NA,NA,1,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,32,10.4,7.22,6,8.36,1.08,7.279999999999999,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,2,NA,13,1,6,NA,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,32,2.1,2.97,28,5.99,0.22,5.7700000000000005,4,NA,45,11,13,40,4,10,50,12,1,7,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,32,0,0.98,12,4.09,0,4.09,NA,NA,5,NA,3,3,NA,NA,24,5,NA,2,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,32,2.2,0.88,16,4.09,0.39,3.6999999999999997,4,NA,5,1,NA,6,1,NA,21,9,NA,1,NA,NA,NA,NA,NA,NA,2019
