clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,DD,FS,GS,PE,SG,FC,FD,FF,RB,DP,A,G,I,PP,CV,FT,GC,ano
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,33,0,4.41,7,4.9,0,4.9,1,15,1,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,33,0,4.7,4,6.97,0,6.97,NA,NA,2,NA,1,2,3,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,33,8,3.9,30,11.62,0.49,11.129999999999999,2,36,5,30,11,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,33,2.4,2.87,28,11.53,-0.46,11.99,8,NA,55,NA,40,NA,23,9,10,31,NA,1,3,4,NA,NA,NA,NA,2019
341,CSA,5,Contundido,5,ata,Alecsandro,37673,33,0,1.13,20,4.54,0,4.54,1,NA,11,NA,19,NA,20,6,11,7,NA,NA,2,7,1,NA,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,33,0,1.91,28,3.97,0,3.97,6,NA,28,NA,50,6,20,1,3,32,NA,NA,NA,NA,NA,1,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,33,2,1.39,14,4.63,-0.05,4.68,NA,NA,20,NA,21,NA,25,2,3,13,NA,2,NA,2,NA,1,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,33,5.34,3.99,29,10.67,0.4,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,33,2.5,2.77,30,8.9,-0.56,9.46,4,NA,45,NA,37,NA,32,4,7,60,NA,NA,NA,NA,NA,1,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,33,0,4.32,5,7.3,0,7.3,2,NA,3,NA,7,2,4,1,NA,6,NA,NA,1,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,33,0.9,1.26,17,3.47,0.28,3.1900000000000004,3,NA,20,NA,21,NA,36,3,15,6,NA,NA,3,4,NA,1,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,33,6.4,5.27,26,12.23,-0.55,12.780000000000001,7,NA,36,NA,39,NA,47,16,18,10,NA,3,13,11,NA,NA,2,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,33,1.55,3.58,31,9.33,-0.12,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
