clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,PP,RB,SG,A,CV,DD,DP,GS,FT,GC,ano
341,CSA,5,Contundido,5,ata,Alecsandro,37673,34,0,1.13,20,4.54,0,4.54,1,20,6,11,11,2,7,19,1,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,3,zag,Edu Dracena,37657,34,0,4.7,4,6.97,0,6.97,NA,3,1,3,2,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,34,4.6,3.13,29,8.35,0.32,8.03,5,45,4,15,58,NA,1,46,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,34,0,5.88,13,13.55,0,13.55,NA,21,1,NA,10,NA,NA,31,NA,40,6,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,34,16.6,2.4,15,7.24,2.61,4.630000000000001,NA,28,4,4,22,NA,2,23,NA,16,NA,4,1,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Jonathan,37662,34,0,4.32,5,7.3,0,7.3,2,4,1,NA,3,1,NA,7,NA,6,2,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,34,3.21,3.96,30,10.27,-0.4,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,34,1.1,2.81,29,11.2,-0.33,11.53,8,24,9,10,57,3,4,43,NA,32,NA,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,34,5.5,1.5,18,4.26,0.79,3.4699999999999998,4,39,3,15,23,4,5,21,NA,6,NA,NA,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,34,3.4,3.88,31,10.85,-0.77,11.62,2,NA,NA,NA,5,NA,NA,13,NA,NA,12,NA,NA,40,2,34,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,34,0,1.91,28,3.97,0,3.97,6,20,1,3,28,NA,NA,50,NA,32,6,NA,1,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,34,6.23,3.66,32,10.06,0.73,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,34,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,34,0,4.41,7,4.9,0,4.9,1,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,15,NA,10,NA,NA,2019
285,Internacional,3,Suspenso,5,ata,Rafael Sobis,37798,34,-1.5,3.22,18,6.62,0.07,6.55,6,14,16,17,10,2,NA,23,NA,10,NA,3,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,34,0,4.5,2,6.94,0,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,2019
284,Grêmio,2,Dúvida,2,lat,Léo Moura,37701,34,1.2,2.22,18,5.34,0,5.34,1,7,NA,2,14,NA,1,40,NA,13,5,1,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,34,2.9,2.59,27,9.57,0.44,9.13,5,29,4,3,21,3,2,46,NA,18,6,1,NA,NA,NA,NA,2,NA,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,34,1.8,2.76,14,7.49,0.07,7.42,6,16,3,4,10,3,NA,37,NA,16,NA,2,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,34,0,4.3,17,10.17,0,10.17,6,25,3,1,15,NA,1,30,NA,20,9,4,NA,NA,NA,NA,NA,NA,2019
