clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,CV,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,PP,FT,GC,ano
277,Santos,2,Dúvida,4,mei,Evandro,37614,37,2.8,2.93,18,5.48,-1.78,7.260000000000001,5,2,1,32,4,5,31,1,2,23,19,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,37,0,4.96,30,8.41,0,8.41,NA,NA,NA,NA,NA,NA,4,NA,NA,18,2,38,2,22,13,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Diego Tardelli,38231,37,1.5,1.83,29,7.86,0.82,7.04,1,2,1,25,16,7,25,4,6,61,17,NA,NA,NA,NA,1,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,37,0,1.91,28,3.97,0,3.97,NA,6,1,20,1,3,28,NA,NA,50,32,NA,NA,NA,6,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,37,0,5.42,14,12.28,0,12.28,NA,NA,NA,25,1,NA,10,NA,NA,36,42,NA,NA,NA,6,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,37,2.2,2.69,34,8.73,-0.48,9.21,NA,4,1,34,5,8,49,NA,NA,40,64,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,37,2.76,3.66,35,9.58,-0.43,10.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,37,-1,1.99,18,5.34,-0.69,6.029999999999999,NA,2,NA,20,NA,9,10,NA,1,26,22,NA,NA,NA,2,NA,1,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,37,4.3,4.83,30,11.69,0.43,11.26,3,7,NA,53,16,22,42,13,13,40,14,NA,NA,NA,NA,NA,2,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Thiago Neves,38277,37,0,4.34,28,8.83,0,8.83,5,8,NA,22,24,36,32,6,2,66,16,NA,NA,NA,NA,1,1,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,37,0,3.46,20,10.48,0,10.48,1,9,1,17,3,4,20,2,2,24,24,NA,NA,NA,7,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,37,0,0.16,16,3.37,0,3.37,1,3,NA,6,1,8,3,NA,NA,23,1,NA,NA,NA,NA,NA,1,NA,2019
