clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,CA,CV,FT,DP,PP,GC,ano
276,São Paulo,2,Dúvida,4,mei,Hernanes,38648,5,-0.8,5.06,5,14.4,-2.49,16.89,1,2,6,5,4,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,1,gol,Vanderlei,62121,5,1.2,7.96,5,21.47,-2.15,23.619999999999997,NA,NA,NA,NA,2,NA,NA,4,NA,14,6,2,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Jean Mota,78548,5,0.7,1.14,5,7.4,-0.26,7.66,NA,7,2,3,4,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,5,3.4,3.02,4,7.21,-0.1,7.31,NA,8,NA,1,7,NA,NA,14,12,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,5,0,3.75,2,7.01,0,7.01,1,1,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,3,Suspenso,4,mei,Elias,54395,5,-2.8,3.26,5,10.12,-1.63,11.75,NA,7,2,2,4,1,NA,14,8,NA,NA,NA,NA,1,1,NA,NA,NA,2019
266,Fluminense,7,Provável,2,lat,Gilberto ,80313,5,4.6,1.4,5,6.76,0.73,6.029999999999999,NA,5,1,2,2,NA,NA,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Patric,60969,5,-1.5,-1.5,1,3.28,-1.72,5,NA,1,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Uilson,85418,5,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,5,-4,-1.5,2,2.55,-1.41,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2019
