clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,A,FT,CV,PP,GC,ano
283,Cruzeiro,6,Nulo,4,mei,Rodriguinho,61033,7,0,2.48,5,5.52,0,5.52,2,3,1,3,7,1,1,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,7,1,3.17,6,9.64,-0.46,10.100000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,10,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,7,5.7,5.72,7,15.74,0.14,15.6,1,7,1,3,7,2,NA,17,15,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Kannemann,87342,7,0,3.7,3,14.7,0,14.7,3,9,NA,NA,4,1,NA,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,7,8,2.5,4,5.26,1.06,4.199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,1,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Iago,97868,7,0,3.32,5,9.28,0,9.28,1,7,2,NA,2,NA,1,16,6,NA,NA,NA,2,1,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Pedro Geromel,80853,7,-0.5,5.48,6,12.07,-1.99,14.06,2,3,NA,3,4,NA,NA,10,18,NA,NA,NA,2,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,3,zag,Rodrigo Moledo,63354,7,0,4.68,5,7.09,0,7.09,NA,1,1,1,1,1,NA,2,6,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Nico López,84709,7,0.7,3.32,6,15.14,-0.49,15.63,2,6,4,8,6,NA,1,11,7,NA,NA,NA,NA,NA,2,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Renê,78445,7,0,3.27,4,7.72,0,7.72,1,2,1,NA,3,NA,NA,7,7,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Víctor Cuesta,79113,7,11.8,5.88,6,14.61,1.56,13.049999999999999,2,7,NA,NA,4,NA,NA,9,19,NA,NA,NA,3,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Everton,86757,7,0,6.68,6,17.31,0,17.31,1,NA,3,4,4,3,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
