atleta_id,apelido,posicao,status,preco_num,variacao_num,clube_id,clube,clube_adv_id,clube_adv,mandante,pontuacao_projetada
37673,Alecsandro,ata,Provável,4.23,0.21,341,CSA,275,Palmeiras,0,1.2121226167028964
38162,Fred,ata,Provável,5.33,-0.65,283,Cruzeiro,354,Ceará,0,5.082176763347047
38231,Diego Tardelli,ata,Provável,7.72,-0.4,284,Grêmio,314,Avaí,1,3.424830926787214
38959,Vagner Love,ata,Nulo,6.17,1,264,Corinthians,315,Chapecoense,0,3.271894885828785
39572,Renato,ata,Nulo,5.2,-0.54,315,Chapecoense,264,Corinthians,1,2.774665065901759
42116,Willian,ata,Provável,8.45,1.51,275,Palmeiras,341,CSA,1,3.4239771703410438
42222,Osvaldo,ata,Provável,5.12,-0.75,356,Fortaleza,293,Athlético-PR,0,2.7812098915346946
50402,Kayke,ata,Provável,7.74,0.43,290,Goiás,276,São Paulo,0,3.733975833744923
61188,Gilberto,ata,Provável,17.36,0.45,265,Bahia,263,Botafogo,1,7.114118515016701
62968,Maicon,ata,Nulo,5.77,-0.28,282,Atlético-MG,267,Vasco,1,2.5768619406171687
68696,Bergson,ata,Nulo,4.34,0.32,354,Ceará,283,Cruzeiro,1,3.185851633649439
68773,Henrique Almeida,ata,Nulo,3.78,-0.41,315,Chapecoense,264,Corinthians,1,2.817265354057287
68895,Wellington Silva,ata,Dúvida,6.11,0.39,285,Internacional,262,Flamengo,0,2.356191306510096
68901,Rodrigo Pimpão,ata,Nulo,1.92,0.36,263,Botafogo,265,Bahia,0,2.2127305152293877
68952,Marinho,ata,Provável,7.37,0.84,277,Santos,266,Fluminense,0,1.415094981804792
69138,Pablo,ata,Provável,14.42,0.81,276,São Paulo,290,Goiás,1,3.437889670813482
69141,Ricardo Bueno,ata,Nulo,13.87,-0.21,341,CSA,275,Palmeiras,0,1.0601654604796003
70360,Eduardo Sasha,ata,Provável,17.67,0.15,277,Santos,266,Fluminense,0,3.1187547205643513
72772,Luiz Adriano,ata,Provável,5.02,-0.81,275,Palmeiras,341,CSA,1,2.872628580565897
73741,Marco Ruben,ata,Nulo,13.37,-1.15,293,Athlético-PR,356,Fortaleza,1,3.1836811393395923
73896,Geuvânio,ata,Nulo,11.16,0.01,282,Atlético-MG,267,Vasco,1,4.572814136197741
75295,Paolo Guerrero,ata,Provável,12.16,-0.49,285,Internacional,262,Flamengo,0,2.7659939670054166
78117,Everaldo,ata,Nulo,15.35,-1.35,315,Chapecoense,264,Corinthians,1,2.7649011893819417
78415,Uribe,ata,Nulo,4.31,0.18,277,Santos,266,Fluminense,0,1.1543220766409175
78435,Vitinho,ata,Nulo,8.16,-0.78,262,Flamengo,285,Internacional,1,3.453764714977449
80337,Arthur Caíke,ata,Nulo,9.19,-0.43,265,Bahia,263,Botafogo,1,3.3952508889600725
81770,Clayton,ata,Nulo,3.48,0.5,267,Vasco,282,Atlético-MG,0,1.498045631803625
81798,Rossi,ata,Nulo,4.98,1.37,267,Vasco,282,Atlético-MG,0,1.969475847109022
82653,Victor Rangel,ata,Provável,1.52,0.4,263,Botafogo,265,Bahia,0,2.3669409954515133
83257,Gabriel,ata,Provável,21.5,0.51,262,Flamengo,285,Internacional,1,7.882782465156142
83438,Guilherme Parede,ata,Nulo,4.43,-0.02,285,Internacional,262,Flamengo,0,2.2473898584160397
83772,Neilton,ata,Nulo,6.6,-0.63,285,Internacional,262,Flamengo,0,1.3357523056633134
83817,Clayson,ata,Nulo,11.61,2.61,264,Corinthians,315,Chapecoense,0,3.3680582605551947
84523,Romarinho,ata,Provável,5.05,-0.12,356,Fortaleza,293,Athlético-PR,0,2.4388133071007427
84709,Nico López,ata,Provável,13.45,-2.75,285,Internacional,262,Flamengo,0,1.8283189594333369
86757,Everton,ata,Provável,19.05,1.17,284,Grêmio,314,Avaí,1,4.482384401194642
86759,Luan,ata,Dúvida,11.19,1.7,284,Grêmio,314,Avaí,1,4.840381244233116
88669,Leandro Carvalho,ata,Provável,10.87,0.01,354,Ceará,283,Cruzeiro,1,3.908980210349318
90285,Bruno Henrique,ata,Provável,19,-0.29,262,Flamengo,285,Internacional,1,5.319217413945002
90302,Pedro Rocha,ata,Provável,10.34,-0.15,283,Cruzeiro,354,Ceará,0,2.8745885895952057
90309,David,ata,Dúvida,4.95,-0.15,283,Cruzeiro,354,Ceará,0,2.3582063072675226
90917,Carlos Eduardo,ata,Dúvida,3.14,-0.53,275,Palmeiras,341,CSA,1,2.658690870973261
91201,Pepê,ata,Nulo,6.1,1.29,284,Grêmio,314,Avaí,1,4.335146111447978
91242,Leandro Barcia,ata,Dúvida,7.86,-0.64,290,Goiás,276,São Paulo,0,2.8321012119142956
91607,Rony,ata,Nulo,11.42,-1.67,293,Athlético-PR,356,Fortaleza,1,3.8105396053747067
92146,André Luís,ata,Dúvida,3.75,-0.46,356,Fortaleza,293,Athlético-PR,0,3.8917066831601783
92708,Deyverson,ata,Nulo,9.84,-0.84,275,Palmeiras,341,CSA,1,3.5165729677932918
94068,Ribamar,ata,Nulo,2.27,-1.63,267,Vasco,282,Atlético-MG,0,2.0982043054780135
95799,Artur,ata,Provável,9.3,-0.52,265,Bahia,263,Botafogo,1,3.291191999202305
96966,Arthur Gomes,ata,Nulo,4.78,-0.99,315,Chapecoense,264,Corinthians,1,4.3382850744198755
97080,Yony González,ata,Provável,12.38,0.08,266,Fluminense,277,Santos,1,4.7337900325967786
99032,Lourenço,ata,Provável,4.5,-0.28,314,Avaí,284,Grêmio,0,3.7990326196382784
99392,Michael,ata,Provável,8.52,1.03,290,Goiás,276,São Paulo,0,3.0204855146352356
99915,Ezequiel,ata,Dúvida,4.58,0.51,283,Cruzeiro,354,Ceará,0,1.8060888689187675
100425,Bustamante,ata,Provável,2.86,-0.22,341,CSA,275,Palmeiras,0,2.303383344568855
100963,Felippe Cardoso,ata,Provável,3.96,0.52,354,Ceará,283,Cruzeiro,1,3.457407361180233
101715,Alerrandro,ata,Nulo,6.27,-1.51,282,Atlético-MG,267,Vasco,1,2.258110569948864
101717,Marrony,ata,Nulo,11.3,0.11,267,Vasco,282,Atlético-MG,0,3.427946241028873
101885,Toró,ata,Nulo,5.61,0.55,276,São Paulo,290,Goiás,1,3.9574681448052464
101997,Braian Romero,ata,Provável,4.54,-0.26,293,Athlético-PR,356,Fortaleza,1,4.415442680227007
102318,Caio Paulista,ata,Provável,4.55,0.76,314,Avaí,284,Grêmio,0,2.919614737747193
103076,Mateus Gonçalves,ata,Nulo,2.75,0.52,354,Ceará,283,Cruzeiro,1,2.5367474208472927
103455,Antony,ata,Provável,11.41,0.41,276,São Paulo,290,Goiás,1,4.670879154217176
103645,Marcos Paulo,ata,Nulo,4.25,0.01,266,Fluminense,277,Santos,1,3.328083057180255
104026,João Pedro,ata,Provável,6.51,0.43,266,Fluminense,277,Santos,1,3.03582769359529
105786,Talles Magno,ata,Nulo,2.29,-0.94,267,Vasco,282,Atlético-MG,0,3.4848890439082103
106161,Jonathan,ata,Provável,6.22,2.32,314,Avaí,284,Grêmio,0,2.7098171158767386
37655,Rafael Moura,ata,Contundido,3.26,0,290,Goiás,276,São Paulo,0,1.0156399654696326
37798,Rafael Sobis,ata,Dúvida,8.67,0,285,Internacional,262,Flamengo,0,2.898454241884477
38279,Wellington Paulista,ata,Nulo,9.86,0,356,Fortaleza,293,Athlético-PR,0,4.370673648081147
38910,Ricardo Oliveira,ata,Nulo,13.34,0,282,Atlético-MG,267,Vasco,1,3.9786368440981787
49675,Alexandre Pato,ata,Contundido,8.98,0,276,São Paulo,290,Goiás,1,5.653097726594611
61149,Lucca,ata,Nulo,5.32,0,265,Bahia,263,Botafogo,1,3.8217969291532956
62033,Fernandão,ata,Nulo,6.12,-0.21,265,Bahia,263,Botafogo,1,2.640889499548019
68911,Diego Souza,ata,Nulo,6.2,0,263,Botafogo,265,Bahia,0,2.268772464986064
68920,Dudu,ata,Nulo,18.02,0,275,Palmeiras,341,CSA,1,4.803004039028161
69022,Marcelo Cirino,ata,Dúvida,8.33,0,293,Athlético-PR,356,Fortaleza,1,3.4161599966755247
69161,Boselli,ata,Nulo,3.69,0,264,Corinthians,315,Chapecoense,0,1.0181883048300253
77809,William Pottker,ata,Contundido,9.48,0,285,Internacional,262,Flamengo,0,3.7046492922511476
80287,Luciano,ata,Nulo,5.91,0,284,Grêmio,314,Avaí,1,2.772317361746717
80748,Di Santo,ata,Nulo,7.11,0,282,Atlético-MG,267,Vasco,1,3.867293991517743
85300,Berrío ,ata,Dúvida,5.21,0.15,262,Flamengo,285,Internacional,1,2.784286489338808
85930,Aylon,ata,Nulo,2.38,0,315,Chapecoense,264,Corinthians,1,2.6478635799228507
86120,Borja,ata,Nulo,5.6,0,275,Palmeiras,341,CSA,1,2.3781774579031305
86444,Pablo Dyego,ata,Contundido,2.03,0,266,Fluminense,277,Santos,1,3.3982147744968105
86932,Gustavo,ata,Nulo,3.55,-0.48,264,Corinthians,315,Chapecoense,0,1.9235861747843763
93782,Alisson Safira,ata,Nulo,4.48,0,341,CSA,275,Palmeiras,0,0.6249662271111891
97245,Janderson,ata,Nulo,1.23,-1.15,264,Corinthians,315,Chapecoense,0,2.2637689119681097
99891,Chará,ata,Nulo,12.01,0,282,Atlético-MG,267,Vasco,1,4.221330467221558
100103,Pedrinho,ata,Nulo,1.02,0,293,Athlético-PR,356,Fortaleza,1,2.886192124586263
100289,Felipe Pires,ata,Nulo,5.63,0,356,Fortaleza,293,Athlético-PR,0,2.43365945274586
101960,Vitinho,ata,Dúvida,2.63,0,293,Athlético-PR,356,Fortaleza,1,3.7556717717401966
73619,Wellington Nem,ata,Nulo,5.1,0,266,Fluminense,277,Santos,1,2.8641498773153846
80080,Brenner,ata,Nulo,4.62,0,314,Avaí,284,Grêmio,0,1.7938928012932278
86797,Raniel,ata,Nulo,6.66,0,276,São Paulo,290,Goiás,1,4.319668476535019
88651,Vinícius Tanque,ata,Nulo,1.19,0,263,Botafogo,265,Bahia,0,1.4367755444208554
69288,Gamarra,ata,Nulo,5.34,0,341,CSA,275,Palmeiras,0,0.6982787288473948
73513,Maranhão,ata,Nulo,3.04,0,341,CSA,275,Palmeiras,0,1.243518011195136
75372,Derlis González,ata,Nulo,0.99,0,277,Santos,266,Fluminense,0,1.3232811022147597
99903,Lucas Campos,ata,Nulo,2.2,0,263,Botafogo,265,Bahia,0,1.4840634555636165
102598,Helinho,ata,Nulo,3.27,0,276,São Paulo,290,Goiás,1,2.6535204190577235
104678,Tiago Reis,ata,Nulo,4.08,0,267,Vasco,282,Atlético-MG,0,2.3294118490080633
79578,Sassá,ata,Nulo,6.25,0,283,Cruzeiro,354,Ceará,0,2.9652088081359262
82880,Daniel Amorim,ata,Contundido,5.13,0,314,Avaí,284,Grêmio,0,1.6721285365611953
91151,Everaldo ,ata,Contundido,3.91,0,264,Corinthians,315,Chapecoense,0,2.7633555468262205
92696,Renato Kayzer,ata,Nulo,2.28,0,315,Chapecoense,264,Corinthians,1,3.014649433853624
102958,Rhuan,ata,Nulo,0.77,0,263,Botafogo,265,Bahia,0,1.322119338972057
104087,Pedro Lucas,ata,Nulo,2.69,0,285,Internacional,262,Flamengo,0,1.7330120583200403
87679,Tréllez,ata,Nulo,4.35,0,285,Internacional,262,Flamengo,0,2.5330470853407325
89101,Bruno Sávio,ata,Nulo,2.22,0,314,Avaí,284,Grêmio,0,1.8557759351051888
99789,Brenner,ata,Nulo,3.14,0,266,Fluminense,277,Santos,1,3.2833944527032233
102302,Papagaio,ata,Contundido,1.97,0,282,Atlético-MG,267,Vasco,1,2.6351696921334056
105836,Da Silva,ata,Nulo,0.78,0,284,Grêmio,314,Avaí,1,3.4232600906428323
68690,André,ata,Dúvida,8.69,0,284,Grêmio,314,Avaí,1,3.086291431050013
68930,Kieza,ata,Nulo,3.37,-0.19,356,Fortaleza,293,Athlético-PR,0,1.4606830383127625
98515,Lucas Silva,ata,Nulo,1.69,0,262,Flamengo,285,Internacional,1,3.873155176969251
100065,Lincoln,ata,Contundido,3.74,0,262,Flamengo,285,Internacional,1,3.963319171572994
104459,Rick,ata,Nulo,1.82,0,354,Ceará,283,Cruzeiro,1,1.7446419333717313
73540,Rogério,ata,Nulo,9.4,0,265,Bahia,263,Botafogo,1,2.5564750430288075
79336,Romário Rodrigues,ata,Nulo,1.76,0,354,Ceará,283,Cruzeiro,1,2.8208950795129772
94138,Felipe Vizeu,ata,Contundido,2.41,0,284,Grêmio,314,Avaí,1,2.6469449467331043
97452,Marcos Calazans,ata,Nulo,2.38,0,276,São Paulo,290,Goiás,1,2.3640563755013537
102139,Jairinho,ata,Nulo,2.89,0,267,Vasco,282,Atlético-MG,0,1.6802101904977274
100430,Matheus Matias,ata,Nulo,1.79,0,314,Avaí,284,Grêmio,0,1.432763014107552
37688,Cícero,mei,Provável,11.53,-0.4,263,Botafogo,265,Bahia,0,2.2018339310794794
37694,Henrique,mei,Provável,8.32,0.46,283,Cruzeiro,354,Ceará,0,2.409480860190581
38277,Thiago Neves,mei,Dúvida,9.32,1.34,283,Cruzeiro,354,Ceará,0,4.5506142191686925
38311,Márcio Araújo,mei,Nulo,9.31,1.42,315,Chapecoense,264,Corinthians,1,1.986857373255034
38315,Jadson,mei,Nulo,3.19,0.22,264,Corinthians,315,Chapecoense,0,0.9413854075820589
38545,Felipe Melo,mei,Provável,6.9,0.67,275,Palmeiras,341,CSA,1,2.2770318277390196
38648,Hernanes,mei,Suspenso,14.38,0.76,276,São Paulo,290,Goiás,1,4.333803765536005
38913,Nenê,mei,Provável,5.81,-0.58,266,Fluminense,277,Santos,1,3.077837201198368
50301,Everton,mei,Provável,7.69,0.8,276,São Paulo,290,Goiás,1,3.052311747594433
50313,Elicarlos,mei,Nulo,4.55,0.4,315,Chapecoense,264,Corinthians,1,2.245464475569225
52190,Ralf,mei,Nulo,10.87,0.56,264,Corinthians,315,Chapecoense,0,2.166207980436659
62009,Camilo,mei,Nulo,5.73,-1.17,315,Chapecoense,264,Corinthians,1,2.076625449504748
62104,Robinho,mei,Nulo,5.63,-0.52,283,Cruzeiro,354,Ceará,0,2.6671189177492516
62977,Ganso,mei,Provável,7.66,-1.38,266,Fluminense,277,Santos,1,2.5260161681664823
63219,Luan,mei,Nulo,7.73,-0.65,282,Atlético-MG,267,Vasco,1,5.397353834977403
63289,Edenílson,mei,Provável,8,-1.34,285,Internacional,262,Flamengo,0,1.571499333052833
68987,João Vitor,mei,Provável,6.11,1.44,341,CSA,275,Palmeiras,0,2.0445229055647607
70925,Wescley,mei,Nulo,3.45,-0.17,354,Ceará,283,Cruzeiro,1,1.155592520021285
70944,Bruno Henrique,mei,Provável,10.03,-0.92,275,Palmeiras,341,CSA,1,2.2948189773887986
70986,Léo Cittadini,mei,Dúvida,6.27,0.01,293,Athlético-PR,356,Fortaleza,1,2.1746429718552247
71844,Thiago Galhardo,mei,Provável,11.29,-0.17,354,Ceará,283,Cruzeiro,1,4.444125911477862
71920,Michel,mei,Dúvida,4.86,-0.46,284,Grêmio,314,Avaí,1,2.7568541862366396
72168,João Paulo,mei,Provável,9.98,2.66,263,Botafogo,265,Bahia,0,2.3404054870860573
73789,Gilberto,mei,Provável,2.84,-0.45,290,Goiás,276,São Paulo,0,0.9470360249160445
73858,Jean Cléber,mei,Nulo,2.25,-0.53,341,CSA,275,Palmeiras,0,2.0396539067558854
73974,Alison,mei,Dúvida,5.68,0.7,277,Santos,266,Fluminense,0,2.009779618765981
74069,Matheus Barbosa,mei,Dúvida,3.85,-0.69,314,Avaí,284,Grêmio,0,1.86512067102506
74140,Élber,mei,Provável,5.71,0.12,265,Bahia,263,Botafogo,1,2.387742226998766
78478,Willian Arão,mei,Provável,13.72,0.31,262,Flamengo,285,Internacional,1,6.591909222398053
78715,Ramiro,mei,Nulo,9.34,-0.14,264,Corinthians,315,Chapecoense,0,1.594904199781497
78840,Pedro Castro,mei,Provável,5.05,-0.26,314,Avaí,284,Grêmio,0,4.241250893938917
78897,Naldo,mei,Provável,2.98,-0.89,341,CSA,275,Palmeiras,0,1.5443723016377267
80193,Edinho,mei,Dúvida,7.63,-0.07,356,Fortaleza,293,Athlético-PR,0,2.2001088577752896
80196,Yago Pikachu,mei,Nulo,8.59,-0.24,267,Vasco,282,Atlético-MG,0,1.74238825039198
80393,Fabinho,mei,Provável,6.39,-0.71,354,Ceará,283,Cruzeiro,1,2.562292298793221
81677,Carlos Sánchez,mei,Dúvida,13.76,0.09,277,Santos,266,Fluminense,0,3.70743942511362
81682,Cazares,mei,Nulo,9.85,-0.69,282,Atlético-MG,267,Vasco,1,4.856167904665623
81845,Alisson,mei,Provável,8.08,-1.31,284,Grêmio,314,Avaí,1,6.52379154959675
82455,Zé Rafael,mei,Dúvida,9.09,0.28,275,Palmeiras,341,CSA,1,2.814067916648954
83004,Otero,mei,Nulo,6.99,-0.3,282,Atlético-MG,267,Vasco,1,2.3685205908907205
83433,Patrick,mei,Dúvida,8.39,0.59,285,Internacional,262,Flamengo,0,1.7513502118355417
86116,Mosquera,mei,Nulo,2.55,-0.02,314,Avaí,284,Grêmio,0,0.9352806352940386
86519,Everton Felipe,mei,Provável,2.24,-0.2,293,Athlético-PR,356,Fortaleza,1,0.7512862767535493
86686,Tchê Tchê,mei,Provável,4.89,-0.24,276,São Paulo,290,Goiás,1,3.0516888156219677
86711,Richard,mei,Nulo,3.67,-0.89,267,Vasco,282,Atlético-MG,0,2.0757992321866867
86770,João Paulo,mei,Dúvida,5.63,-0.1,314,Avaí,284,Grêmio,0,4.005719708988446
87009,Nathan,mei,Nulo,5.33,0.52,282,Atlético-MG,267,Vasco,1,2.3902279163837057
