id;nome;rodada_id;clube_rank;ano
282;Atlético-MG;1;10;2014
293;Atlético-PR;1;5;2014
265;Bahia;1;16;2014
263;Botafogo;1;19;2014
315;Chapecoense;1;14;2014
264;Corinthians;1;9;2014
294;Coritiba;1;12;2014
288;Criciúma;1;15;2014
283;Cruzeiro;1;3;2014
316;Figueirense;1;20;2014
262;Flamengo;1;11;2014
266;Fluminense;1;2;2014
290;Goiás;1;13;2014
284;Grêmio;1;17;2014
285;Internacional;1;6;2014
275;Palmeiras;1;4;2014
277;Santos;1;7;2014
276;SãoPaulo;1;1;2014
292;Sport;1;8;2014
287;Vitória;1;18;2014
282;Atlético-MG;2;15;2014
293;Atlético-PR;2;5;2014
265;Bahia;2;9;2014
263;Botafogo;2;18;2014
315;Chapecoense;2;16;2014
264;Corinthians;2;3;2014
294;Coritiba;2;13;2014
288;Criciúma;2;19;2014
283;Cruzeiro;2;4;2014
316;Figueirense;2;20;2014
262;Flamengo;2;17;2014
266;Fluminense;2;1;2014
290;Goiás;2;8;2014
284;Grêmio;2;10;2014
285;Internacional;2;6;2014
275;Palmeiras;2;11;2014
277;Santos;2;12;2014
276;SãoPaulo;2;2;2014
292;Sport;2;7;2014
287;Vitória;2;14;2014
282;Atlético-MG;3;17;2014
293;Atlético-PR;3;8;2014
265;Bahia;3;6;2014
263;Botafogo;3;19;2014
315;Chapecoense;3;18;2014
264;Corinthians;3;1;2014
294;Coritiba;3;15;2014
288;Criciúma;3;13;2014
283;Cruzeiro;3;2;2014
316;Figueirense;3;20;2014
262;Flamengo;3;9;2014
266;Fluminense;3;5;2014
290;Goiás;3;4;2014
284;Grêmio;3;12;2014
285;Internacional;3;3;2014
275;Palmeiras;3;14;2014
277;Santos;3;16;2014
276;SãoPaulo;3;7;2014
292;Sport;3;11;2014
287;Vitória;3;10;2014
282;Atlético-MG;4;15;2014
293;Atlético-PR;4;14;2014
265;Bahia;4;4;2014
263;Botafogo;4;13;2014
315;Chapecoense;4;19;2014
264;Corinthians;4;3;2014
294;Coritiba;4;18;2014
288;Criciúma;4;17;2014
283;Cruzeiro;4;5;2014
316;Figueirense;4;20;2014
262;Flamengo;4;16;2014
266;Fluminense;4;2;2014
290;Goiás;4;8;2014
284;Grêmio;4;7;2014
285;Internacional;4;1;2014
275;Palmeiras;4;9;2014
277;Santos;4;11;2014
276;SãoPaulo;4;10;2014
292;Sport;4;6;2014
287;Vitória;4;12;2014
282;Atlético-MG;5;11;2014
293;Atlético-PR;5;13;2014
265;Bahia;5;10;2014
263;Botafogo;5;15;2014
315;Chapecoense;5;20;2014
264;Corinthians;5;9;2014
294;Coritiba;5;19;2014
288;Criciúma;5;17;2014
283;Cruzeiro;5;2;2014
316;Figueirense;5;18;2014
262;Flamengo;5;16;2014
266;Fluminense;5;6;2014
290;Goiás;5;5;2014
284;Grêmio;5;4;2014
285;Internacional;5;1;2014
275;Palmeiras;5;7;2014
277;Santos;5;12;2014
276;SãoPaulo;5;8;2014
292;Sport;5;3;2014
287;Vitória;5;14;2014
282;Atlético-MG;6;7;2014
293;Atlético-PR;6;14;2014
265;Bahia;6;11;2014
