rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
1;283;284;0;1;Cruzeiro;Grêmio;2018;14/04/2018 16:00;Mineirão
1;293;315;5;1;Atlético-PR;Chapecoense;2018;15/04/2018 19:00;Arena da Baixada
1;327;292;3;0;América-MG;Sport;2018;15/04/2018 11:00;Independência
1;287;262;2;2;Vitória;Flamengo;2018;14/04/2018 19:00;Barradão
1;267;282;2;1;Vasco;Atlético-MG;2018;15/04/2018 16:00;São Januário
1;263;275;1;1;Botafogo;Palmeiras;2018;16/04/2018 20:00;Engenhão
1;276;289;1;0;São Paulo;Paraná;2018;16/04/2018 20:00;Morumbi
1;277;354;2;0;Santos;Ceará;2018;14/04/2018 21:00;Pacaembu
1;264;266;2;1;Corinthians;Fluminense;2018;15/04/2018 16:00;Arena Corinthians
1;285;265;2;0;Internacional;Bahia;2018;15/04/2018 16:00;Beira-Rio
2;282;287;2;1;Atlético-MG;Vitória;2018;22/04/2018 16:00;Independência
2;289;264;0;4;Paraná;Corinthians;2018;22/04/2018 11:00;Durival Britto
2;315;267;1;1;Chapecoense;Vasco;2018;22/04/2018 16:00;Arena Condá
2;265;277;1;0;Bahia;Santos;2018;21/04/2018 16:00;Fonte Nova
2;266;283;1;0;Fluminense;Cruzeiro;2018;22/04/2018 16:00;Maracanã
2;262;327;2;0;Flamengo;América-MG;2018;21/04/2018 19:00;Maracanã
2;354;276;0;0;Ceará;São Paulo;2018;22/04/2018 16:00;Castelão (CE)
2;292;263;1;1;Sport;Botafogo;2018;23/04/2018 20:00;Ilha do Retiro
2;275;285;1;0;Palmeiras;Internacional;2018;22/04/2018 16:00;Pacaembu
2;284;293;0;0;Grêmio;Atlético-PR;2018;22/04/2018 19:00;Arena do Grêmio
3;282;264;1;0;Atlético-MG;Corinthians;2018;29/04/2018 16:00;Independência
3;289;292;1;2;Paraná;Sport;2018;29/04/2018 16:00;Durival Britto
3;327;287;2;1;América-MG;Vitória;2018;30/04/2018 20:00;Independência
3;265;293;0;0;Bahia;Atlético-PR;2018;29/04/2018 16:00;Fonte Nova
3;266;276;1;1;Fluminense;São Paulo;2018;29/04/2018 16:00;Maracanã
3;263;284;2;1;Botafogo;Grêmio;2018;28/04/2018 16:00;Engenhão
3;354;262;0;3;Ceará;Flamengo;2018;29/04/2018 16:00;Castelão (CE)
3;277;267;1;1;Santos;Vasco;2018;27/09/2018 20:00;Pacaembu
3;275;315;0;0;Palmeiras;Chapecoense;2018;29/04/2018 16:00;Arena Palmeiras
3;285;283;0;0;Internacional;Cruzeiro;2018;29/04/2018 19:00;Beira-Rio
4;283;263;1;0;Cruzeiro;Botafogo;2018;06/05/2018 16:00;Mineirão
4;293;275;1;3;Atlético-PR;Palmeiras;2018;06/05/2018 16:00;Arena da Baixada
4;315;289;1;1;Chapecoense;Paraná;2018;07/05/2018 20:00;Arena Condá
4;287;266;1;2;Vitória;Fluminense;2018;06/05/2018 16:00;Barradão
4;267;327;4;1;Vasco;América-MG;2018;05/05/2018 19:00;São Januário
4;262;285;2;0;Flamengo;Internacional;2018;06/05/2018 16:00;Maracanã
4;276;282;2;2;São Paulo;Atlético-MG;2018;05/05/2018 19:00;Morumbi
4;292;265;2;0;Sport;Bahia;2018;06/05/2018 19:00;Ilha do Retiro
4;264;354;1;1;Corinthians;Ceará;2018;06/05/2018 11:00;Arena Corinthians
4;284;277;5;1;Grêmio;Santos;2018;06/05/2018 19:00;Arena do Grêmio
5;283;292;2;0;Cruzeiro;Sport;2018;13/05/2018 11:00;Mineirão
