rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
1;262;290;0;0;Flamengo;Goiás;2014;20/04/2014 18:30;Estádio Nacional de Brasilia
1;265;283;1;2;Bahia;Cruzeiro;2014;20/04/2014 16:00;Arena Fonte Nova
1;266;316;3;0;Fluminense;Figueirense;2014;19/04/2014 18:30;Estádio Maracanã
1;276;263;3;0;São Paulo;Botafogo;2014;20/04/2014 16:00;Morumbi
1;277;292;1;1;Santos;Sport;2014;20/04/2014 18:30;Estádio Urbano Caldeira
1;282;264;0;0;Atlético-MG;Corinthians;2014;20/04/2014 16:00;Estádio Municipal Parque do Sabiá
1;285;287;1;0;Internacional;Vitória;2014;19/04/2014 18:30;Estádio Beira-Rio
1;288;275;1;2;Criciúma;Palmeiras;2014;20/04/2014 18:30;Estádio Eriberto Hülse
1;293;284;1;0;Atlético-PR;Grêmio;2014;20/04/2014 16:00;Estádio Orlando Scarpelli
1;315;294;0;0;Chapecoense;Coritiba;2014;19/04/2014 19:00;Arena Condá
2;263;285;2;2;Botafogo;Internacional;2014;27/04/2014 16:00;Estádio Maracanã
2;264;262;2;0;Corinthians;Flamengo;2014;27/04/2014 16:00;Pacaembu
2;275;266;0;1;Palmeiras;Fluminense;2014;26/04/2014 21:00;Pacaembu
2;283;276;1;1;Cruzeiro;São Paulo;2014;27/04/2014 16:00;Estádio Municipal Parque do Sabiá
2;284;282;2;1;Grêmio;Atlético-MG;2014;27/04/2014 18:30;Arena do Grêmio
2;287;293;2;2;Vitória;Atlético-PR;2014;27/04/2014 16:00;Estádio Pituaçu
2;290;288;1;0;Goiás;Criciúma;2014;27/04/2014 18:30;Estádio Municipal Juscelino Kubitschek
2;292;315;2;1;Sport;Chapecoense;2014;27/04/2014 18:30;Estádio Adelmar da Costa Carvalho
2;294;277;0;0;Coritiba;Santos;2014;26/04/2014 18:30;Estádio Couto Pereira
2;316;265;0;2;Figueirense;Bahia;2014;27/04/2014 18:30;Arena Barueri
3;262;275;4;2;Flamengo;Palmeiras;2014;04/05/2014 16:00;Maracanã
3;265;263;1;0;Bahia;Botafogo;2014;04/05/2014 16:00;Fonte Nova
3;266;287;1;2;Fluminense;Vitória;2014;03/05/2014 21:00;Maracanã
3;276;294;2;2;São Paulo;Coritiba;2014;03/05/2014 18:30;Morumbi
3;277;284;0;0;Santos;Grêmio;2014;03/05/2014 18:30;Vila Belmiro
3;282;290;0;1;Atlético-MG;Goiás;2014;04/05/2014 18:30;Independência
3;285;292;2;1;Internacional;Sport;2014;04/05/2014 16:00;Beira-Rio
3;288;316;1;0;Criciúma;Figueirense;2014;04/05/2014 16:00;Estádio Heriberto Hülse
3;293;283;2;3;Atlético-PR;Cruzeiro;2014;03/05/2014 18:30;Mané Garrincha
3;315;264;0;1;Chapecoense;Corinthians;2014;04/05/2014 18:30;Arena Condá
4;263;288;6;0;Botafogo;Criciúma;2014;10/05/2014 21:00;Maracanã
4;265;287;1;1;Bahia;Vitória;2014;11/05/2014 18:30;Fonte Nova
4;266;262;2;0;Fluminense;Flamengo;2014;11/05/2014 16:00;Maracanã
4;275;290;2;0;Palmeiras;Goiás;2014;10/05/2014 18:30;Pacaembu
4;276;264;1;1;São Paulo;Corinthians;2014;11/05/2014 16:00;Arena Barueri
4;282;283;2;1;Atlético-MG;Cruzeiro;2014;11/05/2014 16:00;Independência
4;285;293;2;1;Internacional;Atlético-PR;2014;10/05/2014 18:30;Beira-Rio
4;294;292;0;1;Coritiba;Sport;2014;11/05/2014 18:30;Couto Pereira
4;315;284;1;2;Chapecoense;Grêmio;2014;11/05/2014 16:00;Arena Condá
4;316;277;0;2;Figueirense;Santos;2014;11/05/2014 18:30;Estádio do Café
5;262;276;0;2;Flamengo;São Paulo;2014;18/05/2014 16:00;Maracanã
5;264;316;0;1;Corinthians;Figueirense;2014;18/05/2014 16:00;Arena Corinthians
5;277;282;1;2;Santos;Atlético-MG;2014;18/05/2014 18:30;Arena Pantanal
5;283;294;3;2;Cruzeiro;Coritiba;2014;17/05/2014 18:30;Mineirão
5;284;266;1;0;Grêmio;Fluminense;2014;18/05/2014 16:00;Arena do Grêmio
5;287;275;0;1;Vitória;Palmeiras;2014;18/05/2014 18:30;Pituaçu
5;288;285;0;0;Criciúma;Internacional;2014;18/05/2014 18:30;Estádio Heriberto Hülse
5;290;263;2;0;Goiás;Botafogo;2014;14/05/2014 22:00;Mário Helenio
5;292;265;1;0;Sport;Bahia;2014;04/06/2014 21:00;Ilha do Retiro
5;293;315;1;1;Atlético-PR;Chapecoense;2014;18/05/2014 16:00;Willie Davids
6;262;265;1;1;Flamengo;Bahia;2014;21/05/2014 19:30;Moacyrzão
6;264;293;1;1;Corinthians;Atlético-PR;2014;21/05/2014 22:00;Canindé
6;266;276;5;2;Fluminense;São Paulo;2014;21/05/2014 22:00;Maracanã
6;275;316;1;0;Palmeiras;Figueirense;2014;22/05/2014 19:30;Arena da Fonte
